"aksakovis_publ1" "aksakovis_publ2" "aksakovks_publ1" "aksakovks_publ2" "annenkov_letters" "annenkov_notes1" "annenkov_notes2" "herzen_natura1" "herzen_natura2" "herzen_notes" "herzen_russkie" "samarin_publ1" "samarin_publ2"
"и" 4.64714818395249 4.87092060399416 4.51360504496088 4.05058288875716 4.4885690337871 3.61039844208834 3.36923501795084 3.69104810880303 4.00919972818985 4.10375752071745 4.27482154445165 3.6138047340842 3.83976145084812
"в" 3.17635685678774 2.97126156843643 2.69181361672311 2.70038859250478 3.14170929795659 2.68925226422676 2.53797293565313 3.22078625076122 2.87491505932779 3.0423430582359 2.74983776768332 3.61079323013913 3.5146893483893
"не" 2.36845739538738 2.05552849488553 1.76923975242322 2.02858460119871 1.03760224283939 1.02006120367222 0.850593758630213 2.58136545097774 2.11175578903351 1.74821205585197 1.89811810512654 1.75871830392098 2.29994622867478
"на" 0.800994337798647 0.954700438382854 1.71084900151816 1.17236382796549 1.56651926356253 1.39099255046212 1.05495719414526 0.903308748900467 0.956562647012702 1.40765126575094 1.54931862426995 1.49972896464494 1.32717407244464
"что" 1.13244027068085 1.09108621529469 0.753240686675231 1.3040901007706 1.0722853261655 0.834595530277271 0.91963545981773 1.45138372014345 1.36427787360828 1.24872289703712 1.45197923426347 0.993796301873155 1.48359974580828
"с" 0.649081618560972 1.17876278616659 0.957608314842929 1.08674175064217 1.19367611780687 0.914963988748416 0.867163766915217 0.879626497056634 1.06371857195128 1.34521512089908 1.18429591174562 1.12329097151117 0.845676296622183
"как" 1.03576854025687 0.672187043351193 0.642298259955623 0.704735559507344 0.890199138703431 0.553305925628265 0.535763601215134 0.930374179579133 0.904291464115833 0.834373935747531 0.900389357560026 0.635427332409805 0.745466099623601
"к" 0.745753348984947 0.837798343886995 0.764918836856242 0.849634459592966 0.517355992947773 0.57185249296776 0.557856945595139 0.666486230462142 0.737023678845852 0.402996934952889 0.551589876703439 1.14437149912666 0.91900083101139
"его" 0.566220135340423 0.360448124695567 0.83498773794231 0.796943950470921 0.4508800832394 0.420388859695218 0.530240265120133 0.957439610257798 0.818044012335999 0.630037461686911 0.511031797534069 0.665542371860507 0.486386078115071
"но" 0.718132854578097 0.798830979055041 0.513838607964498 0.922083909635777 0.369952888811815 0.426571048808383 0.370063518365092 0.808579741525137 0.76577282943913 0.471109092973096 0.697598961713173 0.560139733783051 0.581707972821039
"а" 0.566220135340423 0.51631758402338 0.6189419595936 0.671803991306066 0.557819590161565 0.324564928441161 0.309306821320077 0.493944109885649 0.663844022790236 0.556249290498354 0.600259571706684 0.451725591760525 0.579263821674732
"он" 0.158817842839387 0.194836824159766 0.788275137218265 0.671803991306066 0.390184687418712 0.395660103242558 0.510908588787628 0.883009675891468 0.891223668391616 0.749233738222273 0.494808565866321 0.258989339276034 0.210196998582392
"по" 0.483358652119873 0.662445202143205 0.648137335046129 0.375419877494566 0.4508800832394 0.442026521591295 0.430820215410108 0.294336558630489 0.334535570539961 0.465433079804745 0.494808565866321 0.864301632235138 0.662364960649167
"из" 0.317635685678774 0.545543107647345 0.554712133598038 0.4149377593361 0.56360010404925 0.374022441346481 0.403203534935101 0.473645036876649 0.480894882651194 0.499489158814848 0.584036340038936 0.548093718002771 0.586596275113653
"то" 0.649081618560972 0.565026790063322 0.239402078710732 0.480800895738655 0.445099569351715 0.272016320979259 0.301021817177575 0.581906759591312 0.60634572160368 0.578953343171756 0.819273199221285 0.379449497078841 0.569487217089505
"от" 0.303825438475349 0.535801266439357 0.291953754525283 0.421524072976355 0.436428798520188 0.404933386912306 0.336923501795084 0.510860004059815 0.582823689300089 0.397320921784539 0.486696950032446 0.623381316629525 0.596372879698881
"все" 0.428117663306173 0.428641013151486 0.373700805792362 0.329315682012777 0.583831902656146 0.503848412722945 0.378348522507595 0.581906759591312 0.593277925879463 0.385968895447837 0.494808565866321 0.313196410287297 0.366622671946033
"это" 0.448833034111311 0.214320506575743 0.420413406516408 0.764012382269644 0.508685222116246 0.389477914129393 0.339685169842585 0.571757223086812 0.52271182896869 0.499489158814848 0.551589876703439 0.301150394507017 0.373955125384954
"я" 0.0414307416102748 0.146127618119825 0.332827280158823 0.0395178818415333 0.878638110928062 0.234923186300269 0.234741784037559 0.131943974558495 0.0836338926349903 1.91281643773414 0.113562621674238 0.0210805276154912 0.955663098205993
"о" 0.248584449661649 0.370189965903556 0.601424734322083 0.698149245867088 0.436428798520188 0.380204630459646 0.276166804750069 0.226672981933825 0.37112539856777 0.420024974457941 0.219013627514601 0.433656568090104 0.515715891870753
"для" 0.414307416102748 0.448124695567462 0.105103351629102 0.302970427451755 0.346830833261077 0.429662143364966 0.347970173985087 0.500710467555315 0.318854215670901 0.249744579407424 0.267683322517846 0.650484852135156 0.469277020090922
