"bekhterev_bessmertie" "bekhterev_licnost" "bekhterev_vnushenie" "pavlov_otvet" "pavlov_reflex" "pavlov_types" "sechenov_reflexy1" "sechenov_reflexy2" "ukhtomsky_dominant1" "ukhtomsky_dominant2"
"и" 4.13665743305632 4.68765133171913 3.8341831666777 3.93929944912171 4.19045676998369 3.65790829469346 3.28253968253968 3.76469219131851 3.30747841358115 3.22809088226616
"в" 4.03508771929825 3.69975786924939 4.18515330110589 2.67123999584243 3.04853181076672 2.51588528250043 3.30793650793651 3.46793902013267 4.1270305868579 4.21953378577752
"что" 1.36657433056325 1.23002421307506 1.51645586385008 1.16412015383016 1.03996737357259 0.910183754078654 1.51746031746032 1.55940882113348 1.33177228157471 1.46946001770434
"на" 1.01569713758079 1.1138014527845 1.26481689954308 1.1953019436649 1.20309951060359 1.23647604327666 1.13650793650794 1.1811939951123 1.11224937801844 1.11537326645028
"не" 1.63434903047091 1.30750605326877 1.43699092775313 1.36160482278349 0.65252854812398 0.858663918942126 1.24444444444444 0.989177237286163 0.995170496121762 1.06226025376217
"с" 0.87719298245614 1.21065375302663 1.01980001324416 1.1953019436649 1.22349102773246 1.21930276489782 0.984126984126984 1.07063889212149 0.892726474462169 1.2215992918265
"как" 1.13573407202216 1.02663438256659 0.847625985034104 0.883484045317535 0.999184339314845 0.978876867594024 0.698412698412698 0.773885720935645 0.702473291380067 0.920625553260549
"к" 0.692520775623269 0.861985472154964 0.595987020727104 0.467726847521048 0.58115823817292 0.446505237849906 0.755555555555556 0.541138135691842 0.812234743158203 0.773089406904692
"то" 0.544783010156971 0.455205811138015 0.536388318654394 0.769150815923501 0.795269168026101 0.618238021638331 0.577777777777778 0.820435237984406 0.490267817942339 0.637356152257303
"или" 0.738688827331487 0.387409200968523 1.06615455930071 0.38457540796175 0.632137030995106 0.807144083805598 0.457142857142857 0.442220411963226 0.490267817942339 0.513425789318383
"же" 0.397045244690674 0.271186440677966 0.470167538573604 0.779544745868413 0.550570962479608 0.661171217585437 0.755555555555556 0.960083789130688 0.380506366164203 0.478017114192977
"при" 0.267774699907664 0.484261501210654 0.430435070525131 0.758756885978588 0.856443719412724 0.996050145972866 0.60952380952381 0.482951239380891 0.468315527586712 0.33048096783712
"по" 0.397045244690674 0.37772397094431 0.569498708694788 0.426151127741399 0.540375203915171 0.352052206766272 0.571428571428571 0.465495170487606 0.621981560076101 0.542933018589554
"это" 0.48938134810711 0.416464891041162 0.390702602476657 0.696393306309115 0.713703099510604 0.489438433797012 0.431746031746032 0.442220411963226 0.439045807112542 0.566538802006492
"от" 0.415512465373961 0.348668280871671 0.390702602476657 0.457332917576136 0.356851549755302 0.369225485145114 0.596825396825397 0.616781100896078 0.607346699839017 0.607848922986132
"а" 0.655586334256694 0.358353510895884 0.264883120323157 0.800332605758237 0.550570962479608 0.455091877039327 0.387301587301587 0.448039101594321 0.490267817942339 0.4131012097964
"но" 0.775623268698061 0.37772397094431 0.463545460565525 0.519696497245609 0.438417618270799 0.540958268933539 0.323809523809524 0.314209240079134 0.548807258890678 0.442608439067572
"из" 0.350877192982456 0.338983050847458 0.43705714853321 0.519696497245609 0.346655791190865 0.291945732440323 0.495238095238095 0.523682066798557 0.541489828772135 0.478017114192977
"его" 0.378578024007387 0.290556900726392 0.516522084630157 0.436545057686311 0.418026101141925 0.498025072986433 0.4 0.581868963109508 0.343919215571491 0.336382413691354
"для" 0.378578024007387 0.426150121065375 0.384080524468578 0.415757197796487 0.285481239804241 0.326292289198008 0.342857142857143 0.320027929710229 0.695155861261525 0.57834169371496
"так" 0.424746075715605 0.300242130750605 0.403946758492815 0.426151127741399 0.519983686786297 0.549544908122961 0.311111111111111 0.256022343768183 0.314649495097322 0.359988197108292
"о" 0.526315789473684 0.387409200968523 0.331103900403947 0.322211828292277 0.224306688417618 0.188906062167268 0.292063492063492 0.459676480856511 0.343919215571491 0.436706993213337
"мы" 0.48938134810711 0.581113801452784 0.483411694589762 0.47812077746596 0.173327895595432 0.394985402713378 0.133333333333333 0.0698242755731409 0.263427484267525 0.601947477131897
