"fem_bez" "fem_knjazhna" "fem_mimochka" "fem_semeinye" "fem_zhena" "musc_kreytserova" "musc_polunoshchniki" "musc_slepoy" "musc_step" "musc_zoloto"
"и" 3.31678546216382 5.23138130801982 5.87770243561286 3.52316179690008 6.06678314890313 4.96133767712054 6.04066161268091 4.21764674176683 5.75886724666267 3.64335296206065
"не" 2.71218090314941 2.72096973081129 2.04031988323654 2.22423304825009 1.87342263638129 2.68084939357067 2.65678842177808 1.36905082735946 1.88087774294671 1.98450105897188
"что" 1.69881356318175 1.39712896396082 1.7058412138535 1.77471613298695 1.48514851485149 2.86925462181576 2.16747070985527 1.10763757882822 1.22926279454757 1.10182045223608
"на" 1.3560904515747 1.16446802075336 1.29838538024143 1.47990309115853 1.15511551155116 1.24425952820191 1.09924190213646 1.50110494259688 1.9865450318763 1.84860986986276
"в" 0 0 2.04640131358896 2.38769374470942 2.17433508056688 1.95077913412097 1.87112336319779 2.70845685333908 2.04290091930541 2.25750768213704
"я" 0.778812652289755 1.52043926386078 0.401374403259647 1.1850900493301 0.941564744709765 3.03803430545198 2.12611991729842 0.458146930415566 0.454369342397239 0.602328513889059
"а" 0.416733085874342 1.03068797840906 0.772341654757199 0.432003269213929 0.75713453698311 0.949876359068964 2.45348035837354 0.512046569287986 1.21869606565461 1.7151671706475
"она" 1.04752578962949 1.31337102440613 1.63286404962447 1.34855074578943 1.24247718889536 1.15790713192291 0.623707787732598 0.582116099822131 0.295868409002853 0.342788585140115
"въ" 2.54138865484025 2.16374677182941 0 0 0 0 0 0 0 0
"то" 0.589802564160955 0.388543775156464 0.453066561255207 0.513733617443591 0.650359153562415 1.3031361620285 0.792556857339766 0.889344041394923 1.01088373075975 1.36748160571967
"с" 0.00341584496618313 0 1.34095539270837 1.40984850696167 1.00951271597748 1.1304313694705 1.01654031702274 1.22891176629117 1.21517382269029 1.14344478043167
"это" 0.658119463484617 0.613061585351667 0.735853072642686 0.610058670714265 0.67947971267715 1.11080582486164 1.3473466574776 0.66027057618714 0.376879997182206 0.612122473464491
"он" 0 0 1.07945388755435 0.974926296739543 0.89303047951854 0.875299289555285 1.04410751206065 1.57925941896189 1.48286428797858 0.834935053805565
"его" 0.743515587639196 0.3990135176008 0.532125155836653 0.697626900960332 0.397980974568045 0.427836872473211 0.56512749827705 0.96480353581631 0.827727096615125 0.505613163081669
"все" 0.494158905107827 0.381563946860241 0.729771642290267 0.618815493738872 0.999805862939235 0.816422655728696 1.00964851826327 0.611760901201962 0.232468035645099 0.722304518688099
"как" 0 0 0.976069571563232 1.06833240900201 0.766841390021355 1.31491148879381 0.999310820124052 0.776154799762842 0.915783170723116 0.918183710196736
"но" 0.540842119645663 0.803843558781787 0.650713047708821 0.627572316763478 0.87361677344205 0.847823527102877 0.637491385251551 0.641405702581793 0.348702053467648 0.279127847899808
"по" 0.461139070434723 0.475791628859263 0.380089397026181 0.359029744008874 0.572704329256455 0.314008713741806 0.389386629910407 0.786934727537326 0.641048219506182 0.538667776648752
"съ" 1.20010019811901 1.3029012819618 0 0 0 0 0 0 0 0
"за" 0.430396465739075 0.497894418463972 0.501718004074558 0.490382089377974 0.40768782760629 0.36503512972485 0.616815988973122 0.339567724896243 0.412102426825402 0.484800998983877
"у" 0.302871587001571 0.445545706242293 0.501718004074558 0.361948685017076 0.397980974568045 0.317933822663579 0.661612680909717 0.371907508219695 0.493114015004755 0.650074066819289
"ее" 0.299455742035388 0.503710942044159 0.827074527928969 1.03038617589539 0.54358377014172 0.506339050908663 0.413507925568573 0.536301406780575 0.179634391180304 0.219139845500288
"же" 0.448614305558718 0.274539912984807 0.355763675616505 0.34151609795966 0.417394680644535 0.765396239745653 0.902825637491385 0.466231876246429 0.334613081610369 0.335443115458541
"было" 0.29376266709175 0.226844419627277 0.468270137136254 0.312326687877638 0.85420306736556 0.733995368371472 0.196416264645072 0.35843259850159 0.503680743897714 0.45664336520451
"да" 0.266435907362285 0.308275749749889 0.310152947973363 0.245191044688987 0.25237817899437 0.447462417082074 0.671950379048932 0.199428663827952 0.352224296431968 0.612122473464491
"к" 0.00113861498872771 0.0663083688141272 0.459147991607626 0.890277007501678 0.495049504950495 0.50241394198689 0.506547208821502 0.724950142834043 0.595259060970026 0.500716183293954
"ты" 0.30856466194521 0.497894418463972 0.0790585945814456 0.233515280656178 0.223257619879635 0.125603485496723 0.441075120606478 0.336872742952622 0.239512521573738 0.492146468665451
"только" 0.450891535536174 0.186128754565971 0.276705081035059 0.248109985697189 0.223257619879635 0.549515249048161 0.42039972432805 0.334177761009001 0.302912894931492 0.42114026174357
"так" 0 0 0.769300939580989 0.437841151230334 0.60182488837119 0.757546021902108 0.73053066850448 0.35843259850159 0.387446726075165 0.542340511489539
"о" 0.314257736888848 0.337358367650822 0.583817313832213 0.31524562888584 0.281498738109105 0.408211327864348 0.258442453480358 0.293753031854687 0.503680743897714 0.219139845500288
"когда" 0.381436021223783 0.347828110095158 0.237175783744337 0.178055401500336 0.42710153368278 0.361110020803077 0.144727773949001 0.369212526276074 0.32404635271741 0.356255279556334
"какъ" 0.844852321635962 0.753821455992183 0 0 0 0 0 0 0 0
"онъ" 1.04069409969713 0.544426607105465 0 0 0 0 0 0 0 0
"вы" 0.3780201762576 0.404830041180987 0.252379359625384 0.510814676435389 0.31061929722384 0.2433567531499 0.627153687112336 0.0781544763650084 0.140889718572787 0.113854780064395
"бы" 0.34841618655068 0.215211372466904 0.401374403259647 0.227677398639773 0.300912444185595 0.463162852769164 0.151619572708477 0.253328302700372 0.250079250466697 0.350134054821689
"ей" 0.2835151321932 0.372257509131942 0.729771642290267 0.443679033246738 0.3882741215298 0.188405228245084 0.23776705720193 0.0997143319139762 0.0598781303934345 0.0783516766034548
"еще" 0.276683442260834 0.17798562155371 0.346641530087877 0.172217519483931 0.33003300330033 0.341484476194214 0.341144038594073 0.334177761009001 0.264168222323976 0.284024827687524
"меня" 0.137772413636053 0.325725320490449 0.0395292972907228 0.28897515981202 0.17472335468841 0.604466773952977 0.527222605099931 0.0916293860831132 0.169067662287345 0.253418704014299
"анюта" 0 1.19006072450618 0 0 0 0 0 0 0 0
"из" 0 0 0.32839723903062 0.350272920984267 0.34944670937682 0.255132079915218 0.268780151619573 0.406942273486768 0.447324856468599 0.379515933547984
"ни" 0.343861726595769 0.200088411158419 0.212850062334661 0.271461513762807 0.15530964861192 0.164854574714448 0.234321157822192 0.121274187462944 0.21837906378782 0.149357883525336
"для" 0.315396351877576 0.174495707405598 0.215890777510871 0.18389328351674 0.29120559114735 0.333634258350669 0.272226050999311 0.207513609658815 0.0845338311436723 0.150582128472265
"ему" 0.256188372463735 0.131453432912217 0.185483625748776 0.233515280656178 0.165016501650165 0.102052831966087 0.323914541695382 0.280278122136582 0.320524109753091 0.161600332994626
"от" 0 0 0.301030802444735 0.326921392918649 0.281498738109105 0.353259802959532 0.296347346657478 0.280278122136582 0.503680743897714 0.315855196307677
"сказала" 0.00910891990982169 0.796863730485563 0.0456107276431417 0.265623631746402 0.203843913803145 0.0902775052007693 0.0723638869745003 0.0512046569287986 0.0317001866788771 0.0110182045223608
"теперь" 0.179901168218978 0.14308648007259 0.179402195396357 0.0817303482296623 0.359153562415065 0.188405228245084 0.272226050999311 0.291058049911066 0.257123736395337 0.230158050022649
"они" 0.137772413636053 0.207068239454643 0.541247301365281 0.0934061122624712 0.184430207726655 0.384660674333713 0.210199862164025 0.231768447151404 0.183156634144623 0.0881456361788867
"къ" 0.396238016077244 0.636327679672413 0 0 0 0 0 0 0 0
"чтобы" 0.29831712704666 0.116330471603732 0.170280049867729 0.0204325870574156 0.17472335468841 0.278682733445853 0.361819434872502 0.126664151350186 0.154978690430066 0.188533721827063
"была" 0.151435793500786 0.226844419627277 0.231094353391918 0.253947867713594 0.359153562415065 0.215880990697492 0.0827015851137147 0.132054115237428 0.0845338311436723 0.217915600553359
"себя" 0.215198232869537 0.164025964961262 0.203727916806033 0.195569047549549 0.184430207726655 0.2433567531499 0.223983459682977 0.0781544763650084 0.137367475608467 0.184860986986276
"до" 0.230000227722998 0.179148926269747 0.145954328458053 0.18389328351674 0.126189089497185 0.125603485496723 0.117160578911096 0.113189241632081 0.123278503751189 0.215467110659501
"ея" 0.454307380502357 0.456015448686629 0 0 0 0 0 0 0 0
"мне" 0 0 0.0942621704624928 0.36778656703348 0.223257619879635 0.596616556109432 0.630599586492074 0.113189241632081 0.123278503751189 0.209345885924856
"уже" 0.157128868444424 0.100044205579209 0.331437954206829 0.163460696459325 0.29120559114735 0.172704792557993 0.124052377670572 0.215598555489678 0.169067662287345 0.165273067835413
"такъ" 0.474802450299456 0.379237337428166 0 0 0 0 0 0 0 0
"ну" 0.102475348985494 0.146576394220702 0.194605771277404 0.0875682302460667 0.09706853038245 0.157004356870903 0.265334252239835 0.0754594944213874 0.116234017822549 0.282800582740595
"очень" 0.120693188805137 0.20823154417068 0.188524340924986 0.166379637467527 0.514463211026985 0.188405228245084 0.18263266712612 0.105104295801218 0.186678877108943 0.068557717028023
"изъ" 0.414455855896887 0.393196994020614 0 0 0 0 0 0 0 0
"ли" 0.211782387903354 0.172169097973523 0.237175783744337 0.216001634606965 0.07765482430596 0.109903049809632 0.141281874569263 0.113189241632081 0.0915783170723116 0.0832486563911707
"ничего" 0.132079338692415 0.133780042344292 0.170280049867729 0.0992439942788756 0.126189089497185 0.196255446088629 0.313576843556168 0.0512046569287986 0.197245606001902 0.175067027410844
"даже" 0.146881333545875 0.136106651776366 0.103384315991121 0.0758924662132578 0.262085032032615 0.13737881226204 0.227429359062715 0.145529024955533 0.0634003733577542 0.21669135560643
"вот" 0 0 0.158117189162891 0.154703873434718 0.087361677344205 0.208030772853947 0.38249483115093 0.180563790222606 0.190201120073263 0.345237075033973
"ней" 0.075148589256029 0.259416951676322 0.228053638215708 0.274380454771009 0.13589594253543 0.180555010401539 0.124052377670572 0.0916293860831132 0.0634003733577542 0.0856971462850287
"мы" 0.0797030492109398 0.247783904515949 0.124669322224587 0.0671356431886512 0.15530964861192 0.286532951289398 0.230875258442453 0.0727645124777664 0.11271177485823 0.133442699215259
"или" 0.187871473140072 0.102370815011284 0.197646486453614 0.0496219971394378 0.165016501650165 0.329709149428897 0.220537560303239 0.126664151350186 0.186678877108943 0.068557717028023
"быть" 0.19925762302735 0.103534119727321 0.249338644449174 0.169298578475729 0.21355076684139 0.310083604820034 0.158511371467953 0.0916293860831132 0.10566728892959 0.0440728180894433
"отъ" 0.452030150524902 0.294316093157442 0 0 0 0 0 0 0 0
"него" 0.144604103568419 0.0535120169377167 0.167239334691519 0.0963250532706734 0.11648223645894 0.0863523962789967 0.155065472088215 0.207513609658815 0.246557007502378 0.193430701614779
"этого" 0.194703163072439 0.102370815011284 0.0912214552862833 0.134271286377302 0.23296447291788 0.317933822663579 0.168849069607167 0.132054115237428 0.0457891585361558 0.0795759215503838
"был" 0 0 0.185483625748776 0.201406929565953 0.223257619879635 0.329709149428897 0.130944176430048 0.212903573546057 0.200767848966222 0.241176254545009
"если" 0.165099173365518 0.133780042344292 0.133791467753216 0.143028109401909 0.126189089497185 0.274757624524081 0.217091660923501 0.102409313857597 0.0598781303934345 0.0477455529302303
"надо" 0.0660396693462073 0.234987552639538 0.121628607048378 0.0583788201640445 0.262085032032615 0.223731208541037 0.158511371467953 0.00808494583086293 0.0669226163220739 0.118751759852111
"со" 0.113861498872771 0.161699355529187 0.112506461519749 0.0992439942788756 0.13589594253543 0.0942026141225419 0.130944176430048 0.11049425968846 0.130322989679828 0.111406290170537
"тебя" 0.083118894177123 0.19543519229427 0.0243257214096756 0.0875682302460667 0.048534265191225 0.0392510892177258 0.124052377670572 0.0727645124777664 0.088056074107992 0.183636742039347
"во" 0.148019948534603 0.102370815011284 0.0790585945814456 0.102162935287078 0.13589594253543 0.196255446088629 0.151619572708477 0.0943243680267342 0.126800746715508 0.0832486563911707
"нибудь" 0.224307152779359 0.0395523603452688 0.158117189162891 0.0408651741148311 0.184430207726655 0.0981277230443145 0.120606478290834 0.0485096749851776 0.088056074107992 0.124872984586756
"своей" 0.157128868444424 0.083757939554687 0.127710037400797 0.125514463352696 0.15530964861192 0.0942026141225419 0.0827015851137147 0.115884223575702 0.0598781303934345 0.11997600479904
"потому" 0.075148589256029 0.083757939554687 0.100343600814912 0.0963250532706734 0.165016501650165 0.211955881775719 0.148173673328739 0.0808494583086293 0.098622803000951 0.16772155772927
"нет" 0 0 0.176361480220148 0.21016375259056 0.05824111822947 0.282607842367626 0.396278428669883 0.115884223575702 0.10566728892959 0.142012413843762
"мнѣ" 0.154851638466969 0.429259440217771 0 0 0 0 0 0 0 0
"есть" 0.067178284334935 0.0791047206905377 0.133791467753216 0.0700545841968534 0.048534265191225 0.325784040507124 0.206753962784287 0.0781544763650084 0.0951005600366313 0.118751759852111
"того" 0.144604103568419 0.0581652358018659 0.0699364490528172 0.119676581336291 0.184430207726655 0.357184911881305 0.0999310820124052 0.0565946208160405 0.0493114015004755 0.0722304518688099
"всѣ" 0.25391114248628 0.28617296014518 0 0 0 0 0 0 0 0
"свою" 0.14915856352333 0.0849212442707243 0.0760178794052361 0.110919758311685 0.09706853038245 0.0510264159830435 0.0723638869745003 0.118579205519323 0.0493114015004755 0.117527514905182
"были" 0.0557921344476579 0.111677252739583 0.136832182929425 0.0554598791558423 0.17472335468841 0.157004356870903 0.0344589937973811 0.118579205519323 0.126800746715508 0.126097229533685
"кто" 0.121831803793865 0.080268025406575 0.0851400249338644 0.0875682302460667 0.087361677344205 0.0785021784354516 0.151619572708477 0.0916293860831132 0.140889718572787 0.0918183710196736
"их" 0 0 0.285827226563688 0.0788114072214601 0.126189089497185 0.239431644228127 0.272226050999311 0.185953754109847 0.147934204501426 0.0820244114442418
"всегда" 0.138911028624781 0.16053605081315 0.0790585945814456 0.05254093814764 0.15530964861192 0.12167837657495 0.0758097863542385 0.0485096749851776 0.0457891585361558 0.0379515933547984
"время" 0.0865347391433061 0.0465321886414927 0.0699364490528172 0.148865991418313 0.23296447291788 0.168779683636221 0.0585802894555479 0.0862394221958713 0.0915783170723116 0.11997600479904
"нее" 0.0557921344476579 0.0535120169377167 0.282786511387478 0.201406929565953 0.11648223645894 0.129528594418495 0.113714679531358 0.0727645124777664 0.0739671022507132 0.0501940428240882
"больше" 0.138911028624781 0.0709615876782764 0.0516921579955606 0.0233515280656178 0.087361677344205 0.133453703340268 0.144727773949001 0.0727645124777664 0.0810115881793526 0.0893698811258156
"опять" 0.0318812196843759 0.0953909867150601 0.0486514428193511 0.05254093814764 0 0.184480119323311 0.248104755341144 0.153613970786396 0.116234017822549 0.0746789417626679
