"gener_mandelshtam_t0.1" "gener_mandelshtam_t0.3" "gener_mandelshtam_t0.5" "gener_mandelshtam_t0.7" "gener_mandelshtam_t1" "gener_nekrasov_t0.1" "gener_nekrasov_t0.3" "gener_nekrasov_t0.5" "gener_nekrasov_t0.7" "gener_nekrasov_t1" "natur_mandelshtam_b1" "natur_mandelshtam_b2" "natur_mandelshtam_b3" "natur_mandelshtam_b4" "natur_nekrasov_b1" "natur_nekrasov_b10" "natur_nekrasov_b11" "natur_nekrasov_b12" "natur_nekrasov_b2" "natur_nekrasov_b3" "natur_nekrasov_b4" "natur_nekrasov_b5" "natur_nekrasov_b6" "natur_nekrasov_b7" "natur_nekrasov_b8" "natur_nekrasov_b9"
"и" 15.9218590398366 13.2408278457197 9.33017190278601 6.66507119779825 4.47362022854364 9.38453445554971 7.25324541520709 5.8642955435588 4.86903597435061 3.8011369969903 5.32175286221871 4.54595126215714 6.34178905206943 4.05506883604506 5.49676025917927 3.12670821034219 3.22645694696511 3.20114667940755 5.06384852487891 4.37181663837012 4.6708232061714 3.56048600105652 3.77985825531543 4.49349179400113 5.37291966303678 3.18168000810619
"в" 12.8447395301328 8.87817497648166 5.47717842323651 3.93681943281082 3.05130075370776 6.93319305628617 6.31568102204822 4.85868529691966 3.32572546462341 2.78675732917178 3.16620607974734 3.30018577204677 3.33778371161549 3.17897371714643 3.30453563714903 2.66754127036187 2.94414196410567 2.35069278547539 2.89520035226772 2.54668930390492 2.57846348937969 3.39144215530903 2.53740484731823 2.64855687606112 2.69159646599548 2.55345019758841
"не" 0.102145045965271 1.77563499529633 2.41849436870184 2.11798492281919 1.88426938973985 7.89058390320884 6.84112919843396 5.37736847676511 3.74959243560483 2.57496377215472 1.65811290959337 1.5408152114523 1.8469069870939 1.81476846057572 2.18142548596112 2.10998141467148 2.05686630369026 2.57047300525561 2.45486569793043 2.68463497453311 2.30370918313431 2.13417855256207 2.23991600314988 2.37691001697793 2.10602013560715 2.4419900699159
"на" 4.1241062308478 4.068673565381 3.16538233550682 2.72825176498744 1.66545100899587 1.6938453445555 3.13208324747579 2.34995236583042 1.91283556135203 1.21502619551889 1.57915515199368 2.07627581685062 1.39074321317312 1.8523153942428 1.10151187904968 1.48682628184104 1.16959064327485 1.12756808408982 0.781594011448701 0.817062818336163 1.09901722498151 1.42630744849445 1.33869979875755 1.36955291454443 1.2019724676392 1.33752153207012
"я" 0 0.293979303857008 0.4742145820984 1.02907742012684 1.2885971310479 0 0.216361013805893 0.635122261035249 1.20639060971634 1.39337866458589 1.27911567311488 1.42060976942411 1.49087672452158 1.27659574468085 1.46868250539957 1.42123100470099 1.22000403307118 1.69135212613473 1.91545574636724 1.17784380305603 1.00390996512734 2.06022187004754 0.883716860617727 1.58460667798529 1.09923977809739 1.64150369844969
"как" 0.165985699693565 1.258231420508 1.76644931831654 1.6991743448606 1.2885971310479 0.220936349289847 1.32907479909334 1.46078120038107 1.1846538419737 0.992085609185152 1.28701144887485 1.44246530433832 1.30173564753004 0.926157697121402 1.09071274298056 0.721548048540505 0.665456745311555 0.888676540850454 1.04579480405108 0.67911714770798 1.08844975166438 1.11991547807713 1.14620701723685 1.2110922467459 0.934867474830491 0.77008815482825
"с" 0 0.0823142050799624 0.509780675755779 0.4307765944717 0.923899829807926 0 0.154543581289924 0.709219858156028 0.945549396804695 1.58287816296957 1.14488748519542 1.01628237351109 0.934579439252336 1.12640801001252 1.20950323974082 1.67267956707117 1.38132688041944 1.38557095078834 1.06781153676794 1.09295415959253 1.00390996512734 1.08821975699947 1.39994750196868 1.36955291454443 1.26361208136429 1.35778700982876
"он" 0.0383043922369765 0.493885230479774 0.746887966804979 0.789757089864784 0.680768295647945 1.52551288795371 1.99876365134968 1.72541547581243 1.33681121617216 0.780292052168097 0.323726806158705 0.437110698284341 0.356030262572319 0.801001251564456 0.583153347732181 0.306111293320214 0.584795321637427 0.563784042044912 0.418317921620432 1.02928692699491 0.85596533868752 0.644479661912309 1.54869192405285 0.905489530277306 0.698582288884323 0.374911338534806
"что" 0 0.105832549388523 0.24896265560166 0.550436759602728 0.632141988815949 0.389268805891636 0.916958582320214 0.889171165449349 1.14118030648843 0.791439081484784 0.513225424397947 0.502677303026992 0.678682688028482 0.625782227784731 0.993520518358531 0.863671149010605 0.92760637225247 0.984233158146202 0.946719506825187 0.848896434634975 0.528373665856494 0.739566825145272 1.29495143932103 1.42614601018676 0.832134785288679 1.03353936569055
"под" 0.357507660878447 0.576199435559737 0.4742145820984 0.275218379801364 0.109409190371991 7.83798001052078 3.86358953224809 1.53487879750185 0.684708183893055 0.245234644967116 0.142123963679432 0.174844279313736 0.211392968402314 0.137672090112641 0.172786177105832 0.295178747130207 0.191570881226054 0.191113234591495 0.0770585645090269 0.201612903225806 0.295889252879636 0.158478605388273 0.122495406422259 0.147142048670062 0.236285185946168 0.233052994224339
