"lnt_detstvo" "lnt_druzhinin" "lnt_kugushev" "lnt_mikhaylov" "lnt_otrochestvo" "sta_aksakov" "sta_lazhechnikov" "sta_senkovsky"
"и" 4.68408865365531 3.69529187895157 4.20013548824156 4.14714954872615 4.62437609317009 5.20131132651179 3.83430895455721 3.87184488975587
"в" 2.25934502150182 2.50649642952141 2.15813413335914 2.24780075402719 2.43163687555992 2.56730482664661 2.8727930977737 2.92605071821245
"не" 1.89216010585511 2.2445931291306 2.11458434143037 1.77082143265166 1.92397935241671 1.97834324397201 1.86896113971366 1.79700892593249
"на" 1.86569632815084 1.45479098888957 1.54843704635633 1.53090369016337 1.5571008062796 1.31558406539602 1.72085478524579 1.41278004374298
"что" 1.75653324512074 1.12536574386676 1.57747024097552 1.28241745687193 1.99223582611663 1.64057732426947 1.22011425347345 1.28864455872791
"с" 1.42242805160437 1.33611605589999 1.40810993903029 1.25671198446247 1.26274476344866 1.4106694293459 1.29769377248043 1.64331737305669
"я" 2.10387032748925 1.03942872342602 3.08719636117294 0.531246429795499 2.78998336248454 0.360472872287584 0.371441333427369 1.24135485015074
"он" 0.932848164075422 0.603605262619442 0.54679183199458 0.845424425911116 0.874536069280321 0.945176901352483 1.0061828525754 0.786191405095466
"его" 0.631822692689381 0.769340944898001 0.348398335430175 0.893979207128984 0.554583848811911 0.764940465208691 0.994428379998589 0.673878347224685
"как" 0.87330466424082 0.624066457962474 0.740346462789122 0.751171027076431 0.780683417942921 0.615926088869336 0.806356818769542 0.945794171543418
"к" 0.565663248428713 0.671127207251448 0.590341623923352 0.791157317491146 0.563115908024402 0.736556774477385 0.590074523356137 0.484719512916002
"то" 0.641746609328482 0.707957358868905 0.76454079163844 0.571232720210214 0.767885329124184 0.533613385748549 0.613583468509768 0.449252231483123
"она" 0.896460469732054 0.44196181940949 0.725829865479532 0.225636924483034 0.409538842199565 0.676951023941643 0.446669957918988 1.33593426730508
"ее" 0.635130664902415 0.460376895218219 0.493564308526081 0.339883468525077 0.371144575743356 0.627279565161858 0.695864776547476 1.2236212094343
"но" 0.635130664902415 0.489022568698463 0.541952966224717 0.425568376556609 0.68683076660552 0.681208577551339 0.465477114041893 0.478808299343855
"по" 0.439960304333444 0.581097947742107 0.479047711216491 0.542671084199703 0.439401049443283 0.559158707406724 0.653548675270941 0.602943784358929
"а" 0.420112471055243 0.343748081762937 0.788735120487758 0.82828744430481 0.524721641568192 0.500972141407547 0.557162000141054 0.242359756458001
"все" 0.387032748924909 0.511529883575799 0.522597503145263 0.382725922540843 0.464997227080756 0.557739522870159 0.420810118249994 0.573387716498197
"за" 0.519351637446245 0.466515253821128 0.527436368915126 0.456986176168171 0.537519730386929 0.404467592921108 0.547758422079601 0.307383105751611
"из" 0.42672841548131 0.468561373355431 0.362914932739766 0.511253284588141 0.260227805980974 0.424336176433022 0.550109316594964 0.526098007921026
"это" 0.559047304002646 0.304871810611176 0.585502758153489 0.382725922540843 0.447933108655774 0.312220598044364 0.387897595034911 0.532009221493173
"от" 0.350645054581541 0.421500624066458 0.270976483112358 0.285616360105107 0.328484279680901 0.422916991896456 0.49368784822625 0.342850387184489
"было" 0.535891498511412 0.329425245022814 0.343559469660312 0.274191705700903 0.341282368499637 0.476846004285937 0.413757434703905 0.159602766447952
"так" 0.545815415150513 0.225073148773351 0.420981321978128 0.371301268136639 0.46073119747451 0.388856563018889 0.406704751157816 0.313294319323757
"мне" 0.737677803506451 0.302825691076873 0.870995838575438 0.168513652462013 0.934260483767757 0.109277209315527 0.176317088652232 0.254182183602294
"у" 0.327489249090308 0.235303746444867 0.338720603890448 0.377013595338741 0.337016338893392 0.376083902189802 0.500740531772339 0.271915824318733
"же" 0.363876943433675 0.259857180856506 0.570986160843898 0.342739632126128 0.354080457318374 0.330669997019712 0.251545713143851 0.271915824318733
"о" 0.353953026794575 0.484930329629857 0.16452143617536 0.31989032331772 0.354080457318374 0.255453216581752 0.211580506382679 0.443341017910977
"меня" 0.694674164737016 0.227119268307655 0.633891415852124 0.102821889637838 0.951324602192739 0.0922469948767438 0.169264405106143 0.336939173612343
