"prose_lermontov1" "prose_lermontov2" "prose_nekrasov" "prose_pushkin" "prose_turgenev" "verse_lermontov" "verse_nekrasov" "verse_pushkin" "verse_turgenev"
"и" 3.27106445997558 3.84829376854599 4.49900693704844 3.9671682626539 3.59488420324922 4.73072686080106 4.06994946106713 4.43562014193984 4.65898174831892
"в" 2.03434747590221 2.12660731948566 2.35168820701765 2.33774129806962 1.85793294158313 2.42564070586768 2.81989355516794 2.74586008786752 2.09414024975985
"не" 2.07591779469459 1.97205736894164 2.27972712357157 1.9577443380453 2.41963359834082 2.28845794101141 2.23399973165168 1.50951898163794 1.83477425552354
"я" 3.05801657616462 0.986028684470821 0.705218617771509 2.50797993616051 0.967853439336329 1.99122861715616 1.49156939040208 1.36870564379858 2.34390009606148
"на" 1.67840162124243 1.60422848664688 0.947007858150312 1.46526827785378 1.71966816453508 1.18683876868076 1.11140927590679 1.21381097217528 0.989433237271854
"с" 1.06264127413027 0.893298714144411 1.2147030885697 1.40750873993008 2.03940546145869 0.956122300513396 1.274654501543 1.09552776839022 1.01825168107589
"что" 1.8057107225441 1.1313056379822 1.41043723554302 1.48958808329533 1.66781887314207 0.802311321735154 0.945927814302965 0.478765348653824 0.931796349663785
"он" 1.17176336096027 1.44967853610287 0.852019228001497 0.939352485180119 1.94434842723816 1.07667685144769 0.54564157609911 0.884307761631182 0.605187319884726
"как" 0.802826781677882 0.918026706231454 1.05638870498834 0.592795257637939 0.838230210853785 1.21801666978446 0.863187083501051 0.743494423791822 1.12391930835735
"ты" 0.348151419886201 0.676928783382789 0.512362914136035 0.547195622435021 0.674040788109229 0.781526054332689 0.869895791403909 0.780105891630055 0.912584053794428
"но" 0.491049390735015 0.729475766567755 0.400103623960162 0.440796473628211 0.449360525406153 0.972750514435368 0.699941857864842 0.599864819195674 0.720461095100865
"а" 0.732676868715737 0.451285855588526 1.24924440862382 0.711354309165527 1.12340131351538 0.209931200764898 0.568003935775303 0.343584544328039 0.326609029779059
"его" 0.693704694847879 1.08184965380811 0.702340174433666 0.811673506611947 1.01970273072935 0.448961775893247 0.232568540632408 0.391461079193421 0.192122958693564
"мне" 0.797630491828834 0.241097922848665 0.10938084683803 0.842073263413893 0.241963359834082 0.646421816216666 0.297419383693367 0.608313619466036 0.806916426512968
"к" 0.522227129829302 0.556379821958457 0.572810224230736 0.726554187566499 0.803664016591773 0.351271019101661 0.404758710139094 0.444970147572378 0.48030739673391
"то" 0.605367767414066 0.646018793273986 0.610229987622694 0.443836449308406 0.79502246802627 0.345035438880921 0.583657587548638 0.335135744057677 0.297790585975024
"так" 0.439086492244537 0.355464886251236 0.889438991393454 0.316157470740234 0.553059108192188 0.40531271434807 0.494208148843866 0.270361608651571 0.557156580211335
"за" 0.556003013848112 0.48528684470821 0.21876169367606 0.644474844201246 0.5876253024542 0.342956912140675 0.436066013685764 0.467500281626676 0.336215177713737
"по" 0.485853100885967 0.442012858555885 0.641892864338966 0.498556011551908 0.388869685447632 0.236952048388103 0.424884833847668 0.273177875408359 0.413064361191162
"меня" 0.709293564395022 0.324554896142433 0.0662041967703866 0.975832193342453 0.362945039751123 0.295150797115005 0.136410394024778 0.298524276219443 0.499519692603266
"она" 0.917145158356933 0.608926805143422 0.123773063527244 0.343517251861985 0.820947113722779 0.270208476232047 0.1274654501543 0.19150613946153 0.268972142170989
"да" 0.311777390942867 0.284371909000989 0.76566592786621 0.407356741146071 0.725890079502247 0.0976907567915861 0.44948342949148 0.154894671623296 0.31700288184438
"created" 0 0 0 0 0 0.868824177423043 0.366742698689566 1.01385603244339 0.758885686839577
"ее" 0.740471303489309 0.676928783382789 0.123773063527244 0.392156862745098 0.570342205323194 0.228637941427116 0.156536517733351 0.163343471893658 0.153698366954851
"у" 0.524825274753826 0.29055390702275 0.431766500676434 0.419516643866849 0.492568268233667 0.234873521647856 0.330962923207657 0.233750140813338 0.10566762728146
"всё" 0.311777390942867 0.318372898120673 0.43752338735212 0 0.311095748358106 0.498846417659163 0.422648597880048 0.273177875408359 0.547550432276657
"о" 0.23383304320715 0.352373887240356 0.253303013730175 0.358717130262958 0.120981679917041 0.419862401529796 0.254930900308601 0.357665878111975 0.48030739673391
"был" 0.384525448829536 0.327645895153314 0.230275467027432 0.434716522267822 0.164189422744556 0.301386377335744 0.263875844179078 0.202771206488679 0.297790585975024
"мы" 0.48065681103692 0.148367952522255 0.187098816959788 0.392156862745098 0.172830971310059 0.224480887946623 0.382396350462901 0.267545341894784 0.384245917387128
"из" 0.402712463301203 0.346191889218595 0.210126363662531 0.437756497948016 0.285171102661597 0.203695620544158 0.232568540632408 0.26191280838121 0.21133525456292
"их" 0.244225622905246 0.281280909990109 0.342534757203304 0.197598419212646 0.164189422744556 0.340878385400428 0.252694664340981 0.28162667567872 0.134486071085495
"же" 0.228636753358102 0.188550939663699 0.451915604041334 0.294877640978872 0.656757690978223 0.166282139219721 0.286238203855271 0.174608538920807 0.220941402497598
"от" 0.2935903764712 0.327645895153314 0.118016176851559 0.389116887064903 0.181472519875562 0.311779011036977 0.181135113377164 0.301340542976231 0.192122958693564
"ни" 0.218244173660007 0.262734915924827 0.230275467027432 0.27359781121751 0.129623228482544 0.299307850595498 0.333199159175276 0.225301340542976 0.268972142170989
"ли" 0.28059965184858 0.213278931750742 0.30799343714919 0.27359781121751 0.233321811268579 0.182910353141693 0.25716713627622 0.26191280838121 0.240153698366955
"было" 0.379329158980488 0.315281899109792 0.359805417230362 0.449916400668795 0.328378845489112 0.0997692835318326 0.16100898966859 0.0450602681085952 0.0768491834774256
"это" 0.519628984904778 0.510014836795252 0.12952995020293 0.316157470740234 0.570342205323194 0.0831410696098605 0.105103090478107 0.0647741354061057 0.0576368876080692
"когда" 0.24682376782977 0.281280909990109 0.126651506865087 0.121599027207782 0.207397165572071 0.369977759763879 0.190080057247641 0.259096541624423 0.432276657060519
"бы" 0.254618202603341 0.352373887240356 0.299358107135661 0.218878248974008 0.198755617006568 0.193302986842926 0.292946911758129 0.118283203785063 0.0768491834774256
"нет" 0.158486840395957 0.204005934718101 0.227397023689589 0.0911992704058368 0.172830971310059 0.286836690154019 0.284001967887652 0.247831474597274 0.326609029779059
"вот" 0.213047883810959 0.123639960435213 0.431766500676434 0.0972792217662259 0.371586588316626 0.153810978778242 0.237041012567646 0.194322406218317 0.297790585975024
"вы" 0.462469796565252 0.120548961424332 0.123773063527244 0.17327861377109 0.388869685447632 0.124711604414791 0.143119101927635 0.284442942435507 0.144092219020173
"где" 0.129907246226194 0.19164193867458 0.135286836878616 0.13983888128895 0.112340131351538 0.263972896011307 0.250458428373362 0.273177875408359 0.278578290105668
"сказал" 0.423497622697394 0.219460929772502 0.302236550473504 0.507675938592491 0.0691323885240235 0.0353349545841907 0.0536696632228633 0.028162667567872 0.0192122958693564
"ему" 0.285795941697628 0.225642927794263 0.204369476986846 0.303997568019456 0.44071897684065 0.0935337033110931 0.16100898966859 0.0901205362171905 0.0768491834774256
"только" 0.392319883603107 0.19164193867458 0.336777870527619 0.103359173126615 0.362945039751123 0.0956122300513396 0.176662641441925 0.0647741354061057 0.0576368876080692
"мой" 0.122112811452623 0.139094955489614 0.0259059900405861 0.218878248974008 0.0518492913930176 0.32217164473821 0.134174158057158 0.349217077841613 0.345821325648415
"они" 0.228636753358102 0.309099901088032 0.371319190581733 0.121599027207782 0.172830971310059 0.176674772920954 0.0849769667695335 0.0816717359468289 0.10566762728146
"уж" 0.275403361999532 0.142185954500495 0.204369476986846 0.118559051527588 0.216038714137573 0.164203612479475 0.214678652891453 0.202771206488679 0.0576368876080692
"под" 0.148094260697862 0.126730959446093 0.120894620189402 0.17327861377109 0.120981679917041 0.218245307725884 0.207969944988595 0.256280274867635 0.249759846301633
"тебя" 0.145496115773338 0.241097922848665 0.0316628767162718 0.237118103055176 0.190114068441065 0.222402361206377 0.143119101927635 0.19150613946153 0.278578290105668
"еще" 0.223440463509055 0.182368941641939 0.287844333784289 0.218878248974008 0.371586588316626 0.0976907567915861 0.131937922089539 0.104201870001127 0.0576368876080692
"все" 0.220842318584531 0.182368941641939 0.103623960162344 0.37999696002432 0.164189422744556 0.133025711375777 0.134174158057158 0.107018136757914 0.124879923150817
"до" 0.161084985320481 0.126730959446093 0.287844333784289 0.142878856969144 0.224680262703076 0.122633077674544 0.232568540632408 0.107018136757914 0.0864553314121038
"для" 0.155888695471433 0.19164193867458 0.054690423419015 0.118559051527588 0.112340131351538 0.320093117997963 0.131937922089539 0.180241072434381 0.115273775216138
"кто" 0.106523941905479 0.19473293768546 0.152557496905673 0.103359173126615 0.0518492913930176 0.203695620544158 0.214678652891453 0.219668807029402 0.0576368876080692
"если" 0.220842318584531 0.330736894164194 0.149679053567831 0.0911992704058368 0.0259246456965088 0.166282139219721 0.140882865960016 0.0478765348653825 0.0768491834774256
"тебе" 0.109122086830003 0.151458951533136 0.0575688667568579 0.227998176014592 0.259246456965088 0.182910353141693 0.134174158057158 0.154894671623296 0.172910662824208
"нас" 0.135103536075242 0.0865479723046489 0.143922166892145 0.231038151694786 0.0777739370895264 0.108083390492819 0.212442416923834 0.166159738650445 0.115273775216138
"без" 0.0831406375847645 0.136003956478734 0.0892317434731297 0.0942392460860313 0.0777739370895264 0.236952048388103 0.254930900308601 0.107018136757914 0.172910662824208
"там" 0.0805424926602406 0.0741839762611276 0.120894620189402 0.0668794649642803 0.0691323885240235 0.205774147284405 0.22362359676193 0.188689872704743 0.163304514889529
"чтоб" 0.202655304112863 0.160731948565776 0.0777179701217582 0.10639914880681 0.0345661942620118 0.182910353141693 0.152064045798113 0.0816717359468289 0.0192122958693564
"теперь" 0.116916521603575 0.19782393669634 0.21876169367606 0.0942392460860313 0.129623228482544 0.076905489389121 0.138646629992397 0.0873042694604033 0.172910662824208
"или" 0.179271999792148 0.234915924826904 0.189977260297631 0.0942392460860313 0.103698582786035 0.0685913824281349 0.111811798380965 0.0901205362171905 0.0384245917387128
"один" 0.14029982592429 0.173095944609298 0.115137733513716 0.0790393676850585 0.0777739370895264 0.195381513583172 0.0581421351581019 0.123915737298637 0.10566762728146
"быть" 0.184468289641196 0.142185954500495 0.126651506865087 0.0911992704058368 0.0864154856550294 0.160046558998982 0.0939219106400107 0.0760392024332545 0.0960614793467819
"ей" 0.189664579490244 0.0865479723046489 0.0604473100947008 0.13983888128895 0.224680262703076 0.0956122300513396 0.181135113377164 0.0816717359468289 0.0672430355427474
"нам" 0.0753462028111928 0.058728981206726 0.0892317434731297 0.124639002887977 0.0604908399585206 0.108083390492819 0.210206180956214 0.183057339191168 0.163304514889529
"во" 0.127309101301671 0.0865479723046489 0.0748395267839153 0.145918832649339 0.103698582786035 0.110161917233065 0.102866854510488 0.214036273515827 0.0864553314121038
"над" 0.0571591883395256 0.0896389713155292 0.0431766500676434 0.0334397324821401 0.0259246456965088 0.212009727505144 0.125229214186681 0.208403740002253 0.240153698366955
"есть" 0.158486840395957 0.111275964391691 0.201491033649003 0.0151998784009728 0.0691323885240235 0.151732452037995 0.125229214186681 0.0647741354061057 0.0192122958693564
"будет" 0.129907246226194 0.0803659742828882 0.172706600270574 0.151998784009728 0.103698582786035 0.110161917233065 0.0849769667695335 0.0901205362171905 0.0192122958693564
"была" 0.166281275169529 0.188550939663699 0.0921101868109726 0.191518467852257 0.0691323885240235 0.081062542869614 0.0827407308019142 0.0366114678382336 0.048030739673391
"вас" 0.174075709943101 0.058728981206726 0.106502403500187 0.121599027207782 0.112340131351538 0.0893766498306001 0.0559058991904826 0.188689872704743 0.10566762728146
"вам" 0.20005715918834 0.0741839762611276 0.0719610834460724 0.10031919744642 0.172830971310059 0.076905489389121 0.0849769667695335 0.146445871352935 0.0768491834774256
"чем" 0.0883369274338123 0.10200296735905 0.143922166892145 0.109439124487004 0.0777739370895264 0.118476024194051 0.12970168612192 0.0704066689196801 0.0576368876080692
"вдруг" 0.0857387825092884 0.120548961424332 0.10938084683803 0.124639002887977 0.155547874179053 0.0872981230903536 0.109575562413346 0.0929368029739777 0.0576368876080692
"сердце" 0.0779443477357167 0.108184965380811 0.0201491033649003 0.0455996352029184 0.0172830971310059 0.224480887946623 0.09615814660763 0.107018136757914 0.201729106628242
"ж" 0.0831406375847645 0.0247279920870425 0.161192826919202 0.075999392004864 0.0604908399585206 0.118476024194051 0.107339326445727 0.132364537568999 0.144092219020173
"тут" 0.106523941905479 0.058728981206726 0.253303013730175 0.112479100167199 0.0864154856550294 0.0290993743634512 0.140882865960016 0.042244001351808 0.0288184438040346
"моей" 0.114318376679051 0.0432739861523244 0.00863533001352868 0.0729594163246694 0.0172830971310059 0.199538567063665 0.0760320228990563 0.143629604596147 0.201729106628242
"твой" 0.0129907246226194 0.0556379821958457 0.0230275467027432 0.027359781121751 0 0.214088254245391 0.109575562413346 0.219668807029402 0.144092219020173
"ней" 0.0961313622073839 0.0834569732937685 0.0662041967703866 0.0638394892840857 0.172830971310059 0.124711604414791 0.118520506283823 0.0844880027036161 0.115273775216138
"сам" 0.04676660864143 0.0649109792284867 0.161192826919202 0.0881592947256422 0.181472519875562 0.0665128556878884 0.145355337895255 0.0844880027036161 0.10566762728146
"были" 0.155888695471433 0.163822947576657 0.158314383581359 0.133758929928561 0.0604908399585206 0.0581987487269024 0.051433427255244 0.0253464008110848 0.0192122958693564
"ну" 0.0961313622073839 0.0340009891196835 0.273452117095075 0.121599027207782 0.250604908399585 0.0207852674024651 0.100630618542869 0.0309789343246592 0.0288184438040346
"здесь" 0.101327652056432 0.0958209693372898 0.0690826401082295 0.0547195622435021 0.0518492913930176 0.108083390492819 0.100630618542869 0.154894671623296 0.0672430355427474
"может" 0.119514666528099 0.120548961424332 0.106502403500187 0.0486396108831129 0.0172830971310059 0.153810978778242 0.0782682588666756 0.0619578686493185 0.048030739673391
"отвечал" 0.202655304112863 0.0556379821958457 0.178463486946259 0.279677762577899 0.0864154856550294 0.00831410696098605 0 0.00844880027036161 0.00960614793467819
"ним" 0.0727480578866689 0.0989119683481701 0.0892317434731297 0.109439124487004 0.198755617006568 0.101847810272079 0.051433427255244 0.115466937028275 0.0384245917387128
"им" 0.0571591883395256 0.0803659742828882 0.164071270257045 0.0668794649642803 0.0518492913930176 0.118476024194051 0.0715595509638177 0.115466937028275 0.0288184438040346
"друг" 0.0519628984904778 0.0927299703264095 0.0431766500676434 0.027359781121751 0.00864154856550294 0.13094718463553 0.102866854510488 0.152078404866509 0.249759846301633
"б" 0.0857387825092884 0.120548961424332 0.0230275467027432 0.0303997568019456 0.0432077428275147 0.176674772920954 0.0849769667695335 0.112650670271488 0.048030739673391
"своей" 0.0753462028111928 0.151458951533136 0.0949886301488155 0.0577595379236966 0.0950570342205323 0.101847810272079 0.0894494387047721 0.0675904021628929 0.048030739673391
