"dostoevsky_besy" "dostoevsky_idiot" "dostoevsky_karamazovy" "dostoevsky_podrostok" "dostoevsky_prestuplenie" "dostoevsky_unizhennye" "goncharov_oblomov" "goncharov_obryv" "grigorovich_pereselentsy" "grigorovich_rybaki" "leskov_nekuda" "leskov_nozhy" "leskov_soboryane" "pisemsky_boyarshchina" "pisemsky_tyufyak" "pomyalovsky_bursy" "pomyalovsky_molotov" "reshetnikov_gde" "reshetnikov_mezhdu" "saltykov_golovlevy" "saltykov_pompadury" "tolstoy_karenina1" "tolstoy_karenina2" "tolstoy_kazaki" "tolstoy_vojna1" "tolstoy_vojna2" "tolstoy_vojna3" "tolstoy_vojna4" "tolstoy_yunost" "turgenev_dym" "turgenev_gnezdo" "turgenev_nakanune" "turgenev_nov" "turgenev_otcy"
"и" 4.2766032434207 4.69599298151927 4.80777601435737 4.62874179333616 4.88995861543523 4.65254223128206 4.04026836622991 4.28682571486937 3.195119965058 3.25976103818337 4.13642381993077 4.98591442219566 5.0284538468958 3.35010564377355 3.57518014116433 4.06981605351171 4.38282462493533 4.29152547989694 4.34846856528748 4.53765050296053 3.87424840285607 4.83668514993517 4.70124524193612 5.05287638773092 4.48078650092168 4.81722190948945 4.66598819458579 4.65049928673324 4.95206068976561 4.14737265955305 4.09728401338926 3.72323498658908 3.93115587717583 3.75116368216417
"не" 2.37680263799505 2.39305399271451 2.31030395564216 2.4647499882107 2.1812032114884 2.30914468077996 2.61650358291751 2.6673678811876 2.03803643739682 2.3971032663105 2.04401763257666 2.33520718681235 2.05446419959489 2.03010302990699 2.41416803346663 1.94188963210702 2.56182100362131 2.30980174477851 2.27162815690489 2.22205102242962 2.15496993611424 2.39937653452509 2.4134012508046 1.91100969766115 1.75355674244931 2.03930198045136 1.81884795440668 1.90109367570138 1.93758882283472 2.49849003422589 2.47658997500106 2.39805428012911 2.34174326879197 2.44601427450121
"в" 2.37631984241552 2.29340300955505 2.32336219539145 2.20905313569224 2.15118930119536 1.84297147822019 2.36935950732366 2.21143356354612 2.04914088583887 2.06495195501455 2.25724631901351 2.17555655982464 2.02981491603168 2.44832167984491 2.33861010264821 2.92851170568562 2.22452146921883 2.48129706800991 2.4570123589468 2.62265853712223 2.43094701240135 2.05798780656018 2.1908947146751 2.16771249286937 2.14302594885853 2.47343192944749 2.48076531650723 2.51450309082263 2.53407794391401 2.22468290718744 2.44693021482141 2.15256625903532 2.10704739552774 2.17403209024697
"что" 1.91476726839089 2.22903514961951 1.93094534959252 2.20486138401161 1.98322684167085 2.27823355444535 1.71859154740398 1.58294831730247 1.2829339433377 1.14054210836553 1.47718027661238 1.86047886740973 1.93228948975983 1.57485460367248 2.0566500193502 1.46530100334448 1.96792550439731 1.5219174337009 2.12251477700161 1.74880588144659 1.96589627959414 2.29868410163039 2.19884137667973 1.59726183685111 1.12775913409274 1.32797707384474 1.46305719519642 1.51117451260105 2.21781861126123 1.42742097845782 1.29655523071056 1.39564486066282 1.59723580415933 1.53697314860449
"на" 1.17126207592443 1.1738790456392 1.22513074981082 1.06522889584021 1.38756616047053 1.24062223261876 1.61449553730331 1.55600081711775 1.42655147652149 1.78051815604562 1.31234014495297 1.31479471379035 1.34499351616671 1.35703239016315 1.33977111475591 1.69732441471572 1.37196068287636 1.83259736709112 1.39038151531435 1.38781889018512 1.13561630965802 1.32003641479765 1.35252187318717 1.9943832550792 1.48319705062154 1.48747078791601 1.64543049053531 1.30765572990965 1.79146900458376 1.31065029192672 1.51264776916232 1.49338546165386 1.4003520438099 1.41467243487943
"он" 1.22436958967204 1.20582457612572 1.37848136019982 1.06365698895997 1.63864406388345 1.22474895152801 1.76425947441589 1.71898972952533 1.15190145172156 1.12931445840624 0.672122343282233 0.900885680859241 0.880943960389673 1.52475549456534 1.17391224222767 1.61998327759197 1.11743404035178 0.892272768696718 1.17141321869962 1.02353018863771 1.32468996617813 2.02557311925846 2.07805211420943 1.72451621396288 1.674150399395 1.70325640107125 1.56238550783635 1.59771754636234 0.89073039892712 1.5723776927723 1.71814753612135 1.67068236577715 1.60766673185996 1.59721081357355
"я" 1.74385763323951 1.6263612610379 1.45381735875337 3.16215267407559 1.39449244746123 2.73855870607696 0.971786623326908 1.22524198420529 0.478971876133579 0.447234723378774 0.905025497046171 1.32704304231586 1.2860495772112 1.22851728419264 1.09098280596355 0.278010033444816 0.995344024831868 0.767172315518256 2.97689414293391 0.695560300235522 1.08864148816234 1.24003420784022 1.12524733985489 0.965378033261661 0.709930519449827 0.910905276086178 0.449419906370853 0.444127436994769 2.64216657659281 1.41131467686732 1.03173594339223 1.6684093285448 1.27648477736489 1.42745012138802
"с" 1.31175558956582 1.38128659432037 1.268993042302 1.1941252600196 1.47991665367988 1.22474895152801 1.39152859953929 1.30956158155748 1.14745967234474 1.07691875859617 1.32616544631795 1.32746539847192 1.29569494904029 1.4724781633231 1.38952877651438 0.984531772575251 1.02431453698914 1.31811139739692 1.08543793659323 1.13138605797803 1.33643367155205 1.25658638859003 1.21583928670762 1.18478213173022 1.27522805690788 1.44056087201269 1.26277223692245 1.19163100332858 1.35911447386857 1.3569559089994 1.39612728274226 1.21834795653953 1.24649586022557 1.52237007830896
"как" 0.855030971336426 0.924989987221788 1.01820787378374 0.993969117269493 1.04356057326569 1.10611706127087 1.07050993613206 0.940989320966459 1.063806160748 1.0235874212895 0.665741434959933 0.724340807629442 0.859509800769486 0.812476856389815 0.801651217219837 0.497491638795987 0.689084324883601 0.719120485820568 0.865126276195594 0.865048094913165 0.798571965426531 0.962095506082926 1.02511939859662 0.835929615165211 0.957602684690646 0.904934923153029 0.799511500101771 0.911079410366144 0.99481574891411 0.851620696597544 0.694885809923308 0.777378733463654 0.87489406089054 0.830549623058248
"то" 0.974281479478774 0.978868269982645 1.08550803249158 1.11814976080817 1.25077199240417 1.02758609166402 0.726657309218877 0.56633214097889 1.00162124947254 1.03294379625558 0.765708998675962 0.58285149535197 0.648383328510647 0.596832865015574 0.973038718832353 0.733695652173913 0.62493533367822 1.1184477602048 1.15126276195594 1.23483964693711 0.865511086057873 0.718640514221082 0.787514204658333 1.00925885295537 0.708985205842038 0.737765041024854 0.788927335640138 0.937708036138849 0.95678456334194 0.591906583450775 0.474556162874454 0.593262717643315 0.658452311102419 0.600551265903656
