"chulkov_povarikha" "emin_fortuna1" "emin_fortuna2" "emin_postoyannost1" "emin_postoyannost2" "karamzin_natalia" "komarov_povest1" "komarov_povest2" "krylov_kaib" "krylov_nochi" "nartov_petr1" "nartov_petr2" "radischev_put1" "radischev_put2" "scherbatov_ofir1" "scherbatov_ofir2"
"и" 5.13002516616119 3.4266526417995 3.32819847575807 3.16407106821671 3.85855665517625 4.44198141359025 3.99755874275252 4.22042308696788 3.15811130542125 3.66122224261332 4.38901168298074 6.37511549122267 3.21029082774049 3.81531767454978 4.80442512840774 4.8300806269309
"в" 2.61340904691231 2.75912290638401 3.03226852602562 2.36345689844264 2.39630823974202 2.66859919856765 2.73624249821992 2.97727866283625 1.97510544182697 2.00954303541934 3.39964214293232 4.1166204701776 3.05369127516779 3.3036541638129 3.05807981035164 3.31549996232386
"не" 2.47144608633929 2.02686301480702 1.9620561050754 2.32507128756306 2.42410763927499 2.05473612413676 2.19204557013529 2.12065813528336 2.03682748688407 2.01871903101487 1.59983159667403 0.882866235499435 2.22595078299776 2.09500020144233 1.47767680758593 1.63514429960063
"что" 1.98102858617797 2.33028562181406 2.02691746392087 1.7438034656723 1.77360169020349 1.0913121323216 1.66819245244634 1.83860015669888 1.98539244933649 1.94531106625069 0.86306704557415 0.94446155425521 1.19686800894855 1.17239434349946 1.25642038719874 1.47690452867154
"я" 2.63276763244499 1.99045230196618 2.0593481433436 1.05834612853696 1.25653285889025 0.861113479410009 2.0089512765741 1.59832854531209 1.10070980351816 2.33070288126262 0.568361225134196 0.492762550046197 1.52498135719612 0.729221223963579 0.719083366258396 0.859015899329365
"на" 1.03891075692069 1.14491463710656 0.985081887465542 0.91577100241281 0.895140664961637 1.75633046295507 1.36303529651104 1.25881431183077 1.56362514144635 1.04606349788952 1.22092411325124 1.39616055846422 1.55480984340045 1.43024052213851 1.16159620703279 1.10014316931655
"его" 1.06472220429761 0.81721822153896 0.701313442516621 1.56832638736565 1.02857778271989 0.937846363713872 0.727291221645814 0.835727343954035 1.1315708260467 0.688199669664159 1.84191137774971 2.26876090750436 0.853840417598807 0.942750090649047 0.592651126037139 0.572677266219576
"с" 1.03245789507647 0.979043611942714 0.867520674558132 0.756744900197412 0.822862226175915 1.20214852076051 1.13416742955956 1.21180464873335 0.802386585742208 1.06441548908057 1.18934848963267 1.17031105635972 0.81282624906786 0.564038515772934 1.17740023706045 0.72338180996157
"он" 1.54223398077047 0.801035682498584 0.551321550186476 0.91577100241281 0.578227510285778 0.801432347173672 0.839182178822093 0.773047793157482 1.24472790865137 0.862543585979079 0.831491421955584 0.533826095883379 0.671140939597315 0.612384674267757 0.616357171078625 0.753522718709969
"то" 0.851777763438085 1.10850392426572 0.944543538187125 1.00350954156613 0.783943066829756 0.281353909114161 0.706947411250127 0.793940976756333 0.792099578232692 0.862543585979079 0.526260393642774 0.431167231290422 0.678598061148397 0.588211595020346 0.561043065981825 0.783663627458368
"но" 0.490417500161322 0.550206327372765 0.555375385114318 0.663522702347006 0.689425108417658 0.809958223207435 0.671345743057675 0.501436406372421 0.812673593251723 0.724903652046247 0.242079781075676 0.307976593778873 0.954511558538404 1.09584625921599 0.845515606479652 0.768593173084169
"к" 0.671097631799703 0.631119022574642 0.616182909031944 0.696424654529502 0.711664628044034 0.605337198397135 0.925643373003764 0.804387568555759 0.43205431539965 0.642319691686548 0.726239343227029 0.841802689662252 0.507084265473527 0.507634664195641 0.711181351244567 0.49732499434858
"а" 1.11634509905143 0.445019823610324 0.514837035835901 0.219346347883308 0.361392193928611 0.323983289282974 1.0731359983725 1.00809610864455 0.411480300380619 0.614791704899982 0.726239343227029 0.687814392772816 0.488441461595824 0.342451956004996 0.734887396286053 0.926832944013262
"как" 0.664644769955475 0.829355125819241 0.77022863628993 0.411274402281202 0.372511953741799 0.809958223207435 0.722205269046893 0.715591538260642 0.905256660837362 0.991007524316388 0.221029365329965 0.236115388563802 0.451155853840418 0.386769267958583 0.450414855788226 0.753522718709969
"мне" 1.2260437504033 0.752488065377458 0.790497810929139 0.658039043649923 0.611586789725342 0.358086793418024 0.651001932661988 0.470096630974145 0.421767307890135 0.935951550743256 0.157878118092832 0.123190637511549 0.46234153616704 0.338423109463761 0.300276570525484 0.48978976716148
"от" 0.46460605278441 0.521886884052108 0.567536889897843 0.674490019741171 0.639386189258312 0.400716173586836 0.900213610009155 0.804387568555759 0.370332270342557 0.440447788585062 0.642037680244185 0.33877425315676 0.555555555555556 0.475403891865759 0.687475306203082 0.376761359354985
"о" 0.412983158030587 0.768670604417833 0.636452083671153 1.00899320026322 0.889580785055043 0.315457413249211 0.366188587122368 0.381300600679028 0.31889723279498 0.486327766562672 0.810441006209873 0.441433117749718 0.454884414615958 0.612384674267757 0.545239035954168 0.406902268103383
"по" 0.529134671226689 0.517841249292014 0.526998540619426 0.307084887036631 0.389191593461581 0.358086793418024 0.85952598921778 0.600679028466963 0.576072420532867 0.330335841438796 0.97884433217556 0.615953187557746 0.447427293064877 0.318278876757584 0.813907546424338 0.98711476151006
"меня" 1.10343937536297 0.898130916740837 0.940489703259283 0.433209037069533 0.394751473368175 0.349560917384261 0.752720984640423 0.511882998171846 0.421767307890135 0.614791704899982 0.11577728660141 0.0718612052150703 0.555555555555556 0.237701945932879 0.181746345318056 0.210986361238791
"из" 0.419436019874814 0.489521805971357 0.660775093238203 0.477078306646194 0.572667630379184 0.306931537215449 0.539110975485709 0.396970488378167 0.493776360456743 0.266103872270141 0.442058730659931 0.544091982342675 0.410141685309471 0.33036541638129 0.474120900829712 0.602818174967975
"бы" 0.367813125120991 0.659438465895299 0.539160045402951 0.520947576222856 0.400311353274769 0.289879785147924 0.386532397518055 0.407417080177592 0.596646435551898 0.578087722517893 0.126302494474266 0.112924751052253 0.432513049962714 0.487490431489465 0.21335440537337 0.519930675909879
"за" 0.46460605278441 0.534023788332389 0.340522133938706 0.449660013160781 0.53930835093962 0.451871429789411 0.589970501474926 0.590232436667537 0.257175187737887 0.486327766562672 0.547310809388485 0.390103685453239 0.398956002982849 0.290076950968938 0.355590675622284 0.195915906864592
"она" 0.329095954055624 0.873857108180274 0.377006648289282 0.526431234919939 0.78950294673635 0.511552562025748 0.472993591699725 0.558892661269261 0.380619277852073 0.495503762158194 0.0526260393642774 0.0718612052150703 0.193885160328113 0.132951935860763 0.0790201501382853 0.0527465903096978
"был" 0.316190230367168 0.271057528926289 0.287822279876763 0.246764641368721 0.305793394862671 0.187569272742774 0.325500966330994 0.297727866283625 0.452628330418681 0.110111947146265 0.463109146405641 1.89918899496972 0.302013422818792 0.265903871721526 0.521532990912683 0.263732951548489
"ты" 0.116151513196102 0.291285702726758 0.454029511918275 0.559333187102435 0.583787390192372 0.460397305823173 0.223781914352558 0.302951162183338 0.606933443061413 1.02771150669848 0.0842016629828439 0.0307976593778873 0.361670395227442 0.334394262922525 0 0.097957953432296
"ее" 0.46460605278441 0.33578768508779 0.27971461002108 0.191928054397894 0.294673635049483 0.775854719072385 0.411962160512664 0.783494384956908 0.298323217775949 0.596439713708937 0.0526260393642774 0.184785956267324 0.328113348247576 0.33036541638129 0.0790201501382853 0.0452113631225981
"для" 0.34200167774408 0.206327372764787 0.251337765526188 0.301601228339548 0.289113755142889 0.289879785147924 0.37127453972129 0.428310263776443 0.421767307890135 0.495503762158194 0.368382275549942 0.225849502104507 0.369127516778524 0.342451956004996 0.403002765705255 0.527465903096978
"у" 0.46460605278441 0.267011894166195 0.30403761958813 0.126124150032902 0.222395196263761 0.213146900844062 0.366188587122368 0.381300600679028 0.339471247814011 0.431271792989539 0.315756236185665 1.11898162406324 0.29082774049217 0.209500020144233 0.252864480442513 0.519930675909879
"так" 0.46460605278441 0.610890848774173 0.55942922004216 0.274182934854135 0.289113755142889 0.315457413249211 0.330586918929916 0.22982501958736 0.329184240304495 0.495503762158194 0.178928533838543 0.318242480238169 0.167785234899329 0.108778856613352 0.21335440537337 0.391831813729184
"все" 0.425888881719042 0.15777975564366 0.271606940165396 0.307084887036631 0.311353274769265 0.358086793418024 0.274641440341776 0.334290937581614 0.195453142680794 0.467975775371628 0.136827702347121 0.256647161482394 0.369127516778524 0.378711574876113 0.466218885815883 0.361690904980785
"их" 0.180680131638382 0.202281738004693 0.502675531052376 0.14257512612415 0.166796397197821 0.434819677721886 0.162750483165497 0.0887960302951162 0.329184240304495 0.201871903101487 0.21050415745711 0.328508366697464 0.436241610738255 0.41497119374723 0.442512840774397 0.700776128400271
