"gorodnichij_1" "gorodnichij_2" "hlestakov_1" "hlestakov_2"
"я" 1.89620758483034 1.50652828925343 3.69077306733167 4.22110552763819
"не" 2.29540918163673 2.71175092065618 2.8927680798005 2.71356783919598
"и" 2.9940119760479 2.97957817207901 2.14463840399003 1.85929648241206
"что" 2.44510978043912 2.61131570137261 2.7431421446384 2.31155778894472
"в" 1.14770459081836 2.00870438567124 2.44389027431421 1.4572864321608
"а" 1.54690618762475 1.6739203213927 1.29675810473815 2.36180904522613
"как" 0.898203592814371 1.64044191496485 1.59600997506234 1.4070351758794
"да" 1.04790419161677 1.20522263140275 1.24688279301746 1.55778894472362
"на" 1.29740518962076 1.37261466354202 1.04738154613466 0.753768844221106
"вы" 1.04790419161677 0.770003347840643 0.897755610972569 1.70854271356784
"это" 0.94810379241517 0.468697689989956 1.04738154613466 1.65829145728643
"так" 0.998003992015968 1.03783059926348 0.84788029925187 0.804020100502513
"нет" 0.548902195608782 0.569132909273519 1.14713216957606 1.20603015075377
"мне" 0.29940119760479 0.301305657850686 1.24688279301746 1.55778894472362
"с" 0.848303393213573 0.970873786407767 0.897755610972569 0.351758793969849
"ну" 0.648702594810379 0.703046534984935 0.698254364089776 0.753768844221106
"вот" 0.648702594810379 0.803481754268497 0.648379052369077 0.351758793969849
"то" 0.998003992015968 0.636089722129227 0.399002493765586 0.351758793969849
"бы" 0.548902195608782 0.703046534984935 0.648379052369077 0.351758793969849
"же" 0.499001996007984 0.435219283562102 0.748129675810474 0.653266331658292
"ты" 0.449101796407186 0.803481754268497 0.648379052369077 0.201005025125628
"он" 0.898203592814371 0.468697689989956 0.498753117206983 0.301507537688442
"у" 0.499001996007984 0.401740877134248 0.548628428927681 0.753768844221106
"нибудь" 0.648702594810379 0.569132909273519 0.598503740648379 0.150753768844221
"вам" 0.798403193612774 0.468697689989956 0.149625935162095 0.552763819095477
"только" 0.449101796407186 0.33478406427854 0.748129675810474 0.50251256281407
"уж" 0.399201596806387 0.535654502845665 0.598503740648379 0.402010050251256
"вас" 0.29940119760479 0.435219283562102 0.448877805486284 0.753768844221106
"все" 0.249500998003992 0.669568128557081 0.349127182044888 0.552763819095477
"если" 0.748502994011976 0.301305657850686 0.598503740648379 0.351758793969849
"меня" 0.349301397205589 0.267827251422832 0.698254364089776 0.653266331658292
"ли" 0.349301397205589 0.468697689989956 0.29925187032419 0.703517587939699
"там" 0.499001996007984 0.33478406427854 0.698254364089776 0.251256281407035
"или" 0.798403193612774 0.33478406427854 0.249376558603491 0.301507537688442
"еще" 0.349301397205589 0.468697689989956 0.498753117206983 0.251256281407035
"по" 0.748502994011976 0.401740877134248 0.149625935162095 0.301507537688442
"теперь" 0.199600798403194 0.703046534984935 0.199501246882793 0.351758793969849
"за" 0.249500998003992 0.368262470706394 0.548628428927681 0.402010050251256
"ж" 0.199600798403194 0.267827251422832 0.548628428927681 0.552763819095477
"из" 0.548902195608782 0.368262470706394 0.29925187032419 0.251256281407035
"ничего" 0.399201596806387 0.200870438567124 0.399002493765586 0.402010050251256
"хорошо" 0 0.33478406427854 0.0997506234413965 0.904522613065327
"ведь" 0.0998003992015968 0.368262470706394 0.249376558603491 0.552763819095477
"очень" 0.149700598802395 0.100435219283562 0.399002493765586 0.753768844221106
"черт" 0.249500998003992 0.368262470706394 0.29925187032419 0.251256281407035
"чтобы" 0.449101796407186 0.301305657850686 0.199501246882793 0.251256281407035
"к" 0.499001996007984 0.133913625711416 0.249376558603491 0.301507537688442
"ни" 0.0499001996007984 0.50217609641781 0.149625935162095 0.301507537688442
"но" 0.499001996007984 0.267827251422832 0.149625935162095 0.201005025125628
"его" 0.29940119760479 0.435219283562102 0.199501246882793 0.050251256281407
"есть" 0.149700598802395 0.267827251422832 0.498753117206983 0.150753768844221
"о" 0.399201596806387 0.301305657850686 0.0997506234413965 0.251256281407035
"от" 0.199600798403194 0.16739203213927 0.0997506234413965 0.603015075376884
"такое" 0.199600798403194 0.234348844994978 0.399002493765586 0.201005025125628
"кто" 0.349301397205589 0.267827251422832 0.149625935162095 0.201005025125628
"какой" 0.199600798403194 0.16739203213927 0.399002493765586 0.201005025125628
"до" 0.249500998003992 0.234348844994978 0.199501246882793 0.201005025125628
"того" 0.349301397205589 0.301305657850686 0 0.201005025125628
"даже" 0.249500998003992 0.133913625711416 0.349127182044888 0.150753768844221
"здесь" 0.249500998003992 0.234348844994978 0.0997506234413965 0.251256281407035
"нужно" 0.0998003992015968 0.267827251422832 0.199501246882793 0.251256281407035
"просто" 0.199600798403194 0.133913625711416 0.199501246882793 0.301507537688442
"человек" 0.249500998003992 0.234348844994978 0.0997506234413965 0.201005025125628
"было" 0.249500998003992 0.234348844994978 0.149625935162095 0.100502512562814
"могу" 0.149700598802395 0.16739203213927 0.199501246882793 0.251256281407035
"можно" 0.199600798403194 0.234348844994978 0.0498753117206983 0.251256281407035
"такой" 0.0998003992015968 0.234348844994978 0.249376558603491 0.150753768844221
"тебе" 0.0998003992015968 0.401740877134248 0.0997506234413965 0.050251256281407
"больше" 0.0998003992015968 0.301305657850686 0.149625935162095 0.100502512562814
"быть" 0.0998003992015968 0.267827251422832 0.0498753117206983 0.251256281407035
"знаю" 0.249500998003992 0.0669568128557081 0.199501246882793 0.251256281407035
"они" 0.0998003992015968 0.133913625711416 0.199501246882793 0.301507537688442
"сам" 0.0998003992015968 0.16739203213927 0.29925187032419 0.150753768844221
"хоть" 0.149700598802395 0.267827251422832 0.149625935162095 0.100502512562814
"этого" 0.249500998003992 0.100435219283562 0.199501246882793 0.201005025125628
"для" 0.199600798403194 0.200870438567124 0.0498753117206983 0.201005025125628
"ему" 0.149700598802395 0.133913625711416 0.399002493765586 0
"их" 0.0998003992015968 0.033478406427854 0.0997506234413965 0.50251256281407
"кажется" 0 0.16739203213927 0.0997506234413965 0.402010050251256
"когда" 0.149700598802395 0.301305657850686 0 0.150753768844221
