"diary_tolstaya-korolenko" "diary_uspensky" "epistulae_gogol1" "epistulae_gogol2" "epistulae_nekrasov" "epistulae_pushkin" "epistulae_saltykov" "epistulae_turgenev1" "epistulae_turgenev2" "memoir_annenkov" "memoir_herzen" "memoir_panaev" "memoir_vigel" "travelog_bellinsgausen" "travelog_bronevsky" "travelog_davydov" "travelog_kruzenshtern" "travelog_litke"
"и" 4.3413322712337 4.94804080465249 3.6907757051006 4.21415607985481 3.48089175899338 3.45829459423562 3.5898654340454 3.77845814530522 3.66999819054614 5.57971685018969 4.06570292647935 4.46687479177207 3.97994068704177 3.68650586425416 4.53767999415247 3.88515423760759 3.53081430904882 3.5061903795413
"в" 2.8577118390919 3.35589665363714 2.48494601721103 2.60181488203267 3.02798762678235 2.55179970779652 2.71507873080329 2.83722932416288 2.96963310661941 2.86718925564118 3.06508285815025 2.91457410446564 3.2920751297471 3.66886370372461 3.24830056282436 3.06339134258968 3.49365599139166 3.47792049639015
"не" 1.73255003485014 1.67794832681857 2.34441699343442 2.43920145190563 2.22816509125864 2.4106787089919 2.27822537097436 2.01933727043642 2.00476844312461 1.69070311570543 1.93923330374837 1.61399785293864 2.03682346157015 0.960439219228544 1.41412664766221 1.36332223408934 1.56297173645463 1.16196468439212
"я" 2.37976700189187 0.858041758032224 2.42450342633937 2.06678765880218 2.04515485007949 1.73412803825209 1.99634965548524 2.65198233624021 2.57953614117998 0.306679533106849 1.38725090882564 1.42520452610407 0.899476892660021 0.574428746842053 0.29530005116585 0.315386065213294 0.640980979586149 0.286323175505234
"что" 2.39968137010853 1.30613023167127 2.03464871521718 2.01814882032668 1.78142292003007 1.51829592243326 1.93749055014364 1.70156371674139 1.64074890102287 1.03107774061785 1.3750927062943 1.26479189546032 0.871159074058819 0.836944095521714 0.86640840094535 1.1333794056669 1.2161607716544 0.840847806547015
"на" 1.29443393408344 1.74468490799886 1.12649878737052 1.16805807622505 1.23424078478735 1.13892947270554 1.01248461023392 1.08294518527117 1.03458185649966 1.37344842628455 1.38846672907877 1.4400118458558 1.00914408106104 2.13258436481165 1.78788100285067 1.87472513664635 1.73715135047261 2.23766998173331
"с" 1.07537588370009 0.781771379540471 0.918727381249197 0.739019963702359 0.979751796211626 1.29416257139062 0.983325053459187 1.07085334532844 1.03032431799555 1.1209665692871 1.3714452455349 1.77564442689503 1.22384463300107 1.27305830381212 1.30740930243891 1.18992272413143 0.930506204664917 0.995244860680217
"к" 0.567559494175047 0.514825054819334 0.601403779172994 0.646098003629764 0.775790887692099 0.64002523575508 0.533511890619263 0.516563402353556 0.503986120424477 0.771986410924136 0.570219698719741 0.966177613800422 0.663151824697257 1.17779063695256 0.741173890797456 0.717471885405541 1.06056031646501 1.40262112557627
"а" 1.08533306780842 0.819906568786348 0.451052834379746 0.545916515426497 1.0752621914398 1.14224996679506 0.972525217616692 0.853683899956953 0.789241200200104 0.463984983278034 0.480248999987842 0.368949050480621 0.508690995963424 0.549729722100687 0.338181906780693 0.038952063831124 0.341392043475232 0.461016556003363
"но" 0.667131335258389 0.438554676327581 0.707178313198395 0.756442831215971 0.499735035677754 0.602669677247974 0.801347819513143 0.724059375770855 0.749858969037051 0.523470237544449 0.524018529100658 0.486173665181822 0.594159321196145 0.347197719221487 0.448310308700631 0.66721115788151 0.604596793546839 0.602365971759112
"по" 0.288758339141691 0.781771379540471 0.392876840665775 0.353539019963702 0.551495507930444 0.398459290742463 0.619910577359224 0.437240932329227 0.434801119732627 0.580311702732356 0.454716774672032 0.454091139053072 0.525681687124145 1.1022821898861 0.793314328874595 0.947414713827983 0.774131617857668 0.961176027139088
"как" 0.776660360450065 0.409953284393174 0.80161986143536 0.862431941923775 0.559506057207646 0.569464736352769 0.635030347538717 0.672306300815957 0.70941235324797 0.782561567238166 0.613989227832557 0.61450376969682 0.768185188236263 0.26604378078557 0.460005360231952 0.442294402211472 0.39171059863598 0.493635651946998
"от" 0.318629891466693 0.56249404137668 0.383810452035027 0.44573502722323 0.41531617021801 0.425023243458627 0.435233384452556 0.481255229720775 0.417770965716171 0.39392457269759 0.345292951889993 0.313421601411631 0.379458769256117 0.987960989654637 0.668567112540506 0.924797386442169 0.938247520843494 1.36347821044391
"он" 1.52344916857513 0.333682905901421 0.370966401474799 0.37967332123412 0.417164758512749 0.483131890025236 0.365034451476338 0.47786951453681 0.468329235452523 0.877737974064429 1.44561028097606 1.56217223380758 1.45141692066892 0.167953368241288 0.267037009965159 0.266381855877364 0.420353468496714 0.322566615442605
"его" 0.667131335258389 0.67689960911431 0.420831538943917 0.431215970961887 0.415932366316256 0.659118076769823 0.301315420005616 0.418377662018563 0.424157273472342 1.11832278020859 0.86931148099065 1.26109006552239 1.40610841090699 0.202532002879201 0.445386545817801 0.277690519570271 0.419579336878856 0.426222853663487
"мне" 0.816489096883401 0.324149108589951 0.960281662473462 0.937205081669692 0.74559727887803 0.941360074379068 0.723589001447178 0.910757384486653 0.829155623676172 0.1083953522188 0.443774392393828 0.486173665181822 0.45051075047368 0.0818596248570985 0.0955095875057866 0.0716215367217441 0.129279980182231 0.0949578126359129
