"gurmyzhskaja_1" "gurmyzhskaja_2" "neschastlivtsev_1" "neschastlivtsev_2"
"я" 4.39340988517224 4.87599831862127 3.01980198019802 3.26965466568699
"не" 3.74438342486271 3.572929802438 3.01980198019802 2.86554004408523
"ты" 2.59610584123814 2.94241277847835 3.36633663366337 1.91036002939015
"и" 2.69595606590115 1.97562000840689 2.27722772277228 2.42468772961058
"что" 2.19670494258612 2.48003362757461 2.32673267326733 1.54298310066128
"в" 1.24812780828757 0.966792770071459 2.32673267326733 1.72667156502572
"а" 1.14827758362456 0.966792770071459 2.22772277227723 1.65319617927994
"меня" 1.09835247129306 1.09289617486339 0.99009900990099 0.955180014695077
"мне" 1.29805292061907 1.09289617486339 1.08910891089109 0.698016164584864
"тебе" 0.649026460309536 1.55527532576713 1.08910891089109 0.698016164584864
"тебя" 0.798801797304044 1.21899957965532 0.99009900990099 0.955180014695077
"как" 0.649026460309536 1.21899957965532 1.38613861386139 0.698016164584864
"он" 1.19820269595607 1.34510298444725 0.643564356435644 0.551065393093314
"это" 0.948577134298552 1.47120638923918 0.495049504950495 0.514327700220426
"у" 0.748876684972541 0.7145859604876 1.08910891089109 0.771491550330639
"с" 0.748876684972541 0.504413619167718 0.891089108910891 0.991917707567965
"ну" 0.698951572641038 1.00882723833544 0.841584158415842 0.587803085966201
"нет" 0.499251123315027 0.882723833543506 0.99009900990099 0.661278471711977
"да" 0.748876684972541 0.672551492223623 1.23762376237624 0.440852314474651
"на" 0.748876684972541 0.420344682639765 0.742574257425743 0.991917707567965
"так" 0.499251123315027 0.882723833543506 0.544554455445545 0.881704628949302
"то" 0.748876684972541 0.294241277847835 1.28712871287129 0.404114621601763
"братец" 0 0 2.22772277227723 0.477590007347539
"за" 0.649026460309536 0.882723833543506 0.544554455445545 0.404114621601763
"но" 0.998502246630055 0.756620428751576 0.099009900990099 0.440852314474651
"же" 0.449326010983525 0.672551492223623 0.792079207920792 0.330639235855988
"вот" 0.249625561657514 0.630517023959647 0.594059405940594 0.477590007347539
"мой" 0.349475786320519 1.17696511139134 0.297029702970297 0.14695077149155
"его" 0.54917623564653 0.420344682639765 0.445544554455446 0.514327700220426
"вы" 0.599101347978033 0.252206809583859 0.198019801980198 0.734753857457752
"все" 0.499251123315027 0.672551492223623 0.346534653465347 0.293901542983101
"уж" 0.54917623564653 0.546448087431694 0.396039603960396 0.293901542983101
"еще" 0.54917623564653 0.378310214375788 0.742574257425743 0.14695077149155
"она" 0.499251123315027 0.294241277847835 0.247524752475248 0.551065393093314
"очень" 0.54917623564653 0.58848255569567 0.247524752475248 0.257163850110213
"по" 0.499251123315027 0.294241277847835 0.396039603960396 0.440852314474651
"если" 0.349475786320519 0.252206809583859 0.247524752475248 0.661278471711977
"о" 0.349475786320519 0.168137873055906 0.247524752475248 0.661278471711977
"вас" 0.249625561657514 0.294241277847835 0.247524752475248 0.587803085966201
"теперь" 0.299550673989016 0.546448087431694 0.297029702970297 0.293901542983101
"ах" 0.399400898652022 0.882723833543506 0.099009900990099 0.0367376928728876
"бы" 0.199700449326011 0.462379150903741 0.346534653465347 0.367376928728876
"только" 0.499251123315027 0.252206809583859 0.396039603960396 0.257163850110213
"для" 0.299550673989016 0.252206809583859 0.247524752475248 0.477590007347539
"ли" 0.449326010983525 0.336275746111812 0.297029702970297 0.257163850110213
"мы" 0.199700449326011 0.210172341319882 0.099009900990099 0.661278471711977
"господа" 0.748876684972541 0.294241277847835 0 0.220426157237326
"друг" 0.149775336994508 0.966792770071459 0 0.0734753857457752
"есть" 0.0499251123315027 0.252206809583859 0.495049504950495 0.367376928728876
"из" 0.449326010983525 0.210172341319882 0.544554455445545 0.0734753857457752
"чтоб" 0.199700449326011 0.546448087431694 0.099009900990099 0.183688464364438
"ее" 0.0499251123315027 0.378310214375788 0.148514851485149 0.367376928728876
"знаешь" 0.349475786320519 0.126103404791929 0.247524752475248 0.257163850110213
"будет" 0.199700449326011 0.336275746111812 0.247524752475248 0.14695077149155
"ведь" 0.249625561657514 0.294241277847835 0.247524752475248 0.14695077149155
"дело" 0.299550673989016 0.252206809583859 0.247524752475248 0.14695077149155
"деньги" 0.249625561657514 0.252206809583859 0.198019801980198 0.220426157237326
"женщина" 0.0499251123315027 0.168137873055906 0.445544554455446 0.257163850110213
"к" 0.199700449326011 0.168137873055906 0.247524752475248 0.293901542983101
"себя" 0.0998502246630055 0.420344682639765 0.099009900990099 0.257163850110213
"надо" 0.0998502246630055 0.294241277847835 0.148514851485149 0.293901542983101
"моя" 0.199700449326011 0.336275746111812 0.148514851485149 0.14695077149155
"нужно" 0.149775336994508 0.252206809583859 0.198019801980198 0.220426157237326
"кто" 0 0 0.247524752475248 0.477590007347539
"много" 0.149775336994508 0.252206809583859 0.099009900990099 0.257163850110213
"мое" 0.0998502246630055 0.0420344682639765 0.0495049504950495 0.514327700220426
"от" 0.199700449326011 0.210172341319882 0.148514851485149 0.220426157237326
"тобой" 0.199700449326011 0.0840689365279529 0.297029702970297 0.220426157237326
"быть" 0.249625561657514 0.294241277847835 0.0495049504950495 0.14695077149155
"здесь" 0.0499251123315027 0.252206809583859 0.247524752475248 0.183688464364438
"поди" 0.149775336994508 0.210172341319882 0.099009900990099 0.257163850110213
"тетушка" 0 0 0.148514851485149 0.514327700220426
"аркадий" 0 0 0.346534653465347 0.330639235855988
"брат" 0 0 0.396039603960396 0.293901542983101
"ж" 0 0.252206809583859 0.247524752475248 0.183688464364438
"сам" 0.149775336994508 0.0840689365279529 0.396039603960396 0.110213078618663
"аркашка" 0 0 0.198019801980198 0.404114621601763
"было" 0.149775336994508 0.294241277847835 0.099009900990099 0.110213078618663
"знаю" 0.249625561657514 0.210172341319882 0.198019801980198 0.0367376928728876
"когда" 0.149775336994508 0.126103404791929 0.247524752475248 0.14695077149155
"ни" 0.249625561657514 0.210172341319882 0.148514851485149 0.0734753857457752
"нибудь" 0.0998502246630055 0.252206809583859 0.148514851485149 0.14695077149155
"алексис" 0.149775336994508 0.462379150903741 0 0
"без" 0.299550673989016 0.0840689365279529 0.198019801980198 0.0734753857457752
"вам" 0.299550673989016 0.126103404791929 0.0495049504950495 0.14695077149155
"где" 0.149775336994508 0.168137873055906 0.247524752475248 0.0734753857457752
"денег" 0.149775336994508 0.126103404791929 0.198019801980198 0.14695077149155
"лучше" 0.0499251123315027 0.168137873055906 0.247524752475248 0.14695077149155
