"bestuzhev_fregat" "bestuzhev_mulla" "bulgarin_dimitriy_b1" "bulgarin_dimitriy_b2" "bulgarin_dimitriy_b3" "bulgarin_vyzhigin_b1" "bulgarin_vyzhigin_b2" "bulgarin_vyzhigin_b3" "gogol_mertvye_b1" "gogol_mertvye_b2" "gogol_taras" "lazhechnikov_ledyanoy_b1" "lazhechnikov_ledyanoy_b2" "lazhechnikov_posledniy_b1" "lazhechnikov_posledniy_b2" "lazhechnikov_posledniy_b3" "lazhechnikov_posledniy_b4" "lermontov_ligovskaya" "lermontov_mary" "lermontov_vadim" "narezhnyy_bursak_b1" "narezhnyy_bursak_b2" "narezhnyy_zhilblaz_b1" "narezhnyy_zhilblaz_b2" "pogorelskiy_dvoynik" "pogorelskiy_monastyrka" "pushkin_dubrovsky" "pushkin_kapitanskaya" "pushkin_povesti" "saltykov_protivorechiya" "zagoskin_miloslavskiy_b1" "zagoskin_miloslavskiy_b2" "zagoskin_roslavlev_b1" "zagoskin_roslavlev_b2"
"и" 3.30799024530197 3.38452531075482 4.55564712421182 4.59561336692643 4.70488630865989 4.76713308140129 4.55705067280276 4.58257713248639 3.73736011864635 4.28785912410617 5.16129032258065 3.55549753030006 3.31942256100158 3.37788332785933 3.42874636461044 3.54543564150551 3.35901155519984 3.83774852086776 3.08858886628445 3.84829376854599 4.93533620727968 4.8087780973687 4.3739451900667 4.5484855220352 3.51245085190039 3.23618598382749 4.33393056026343 3.9671682626539 4.1697147037308 4.15447794779478 2.9779875940056 3.24747742963356 2.87069893544914 2.80073184952852
"в" 2.43867450867881 2.34192037470726 2.65442627977845 3.12884513974336 2.66690856313498 3.07680522929221 3.4090340653294 3.37013510788465 2.33517594714844 2.75848029111637 2.3322985558105 2.47622777814044 2.33573223182728 2.71594957176423 2.49757640695954 2.63828238719068 2.75624030813866 2.37194179414743 2.02052894396153 2.12660731948566 2.6887693880272 2.68669436454671 2.2803986176967 2.57430944250237 2.70940069105207 2.64824797843666 2.56161929204397 2.33774129806962 2.68575608736545 2.05051755175518 1.86913322720536 1.8348380244291 2.11514692396635 2.16337937551521
"не" 2.03987950078898 2.15726896054765 1.98554918833969 1.43747192437648 1.7134333172069 1.74394852415484 1.90835876144265 1.81488203266788 2.12215181340164 2.1146652416215 2.09205020920502 1.64284004613008 1.92905506110804 1.74073419064703 1.75008929026991 1.79611145768351 1.38562353058876 1.90288364159693 2.12687257259109 1.97205736894164 1.76436602817653 1.86001917545542 2.06943663103753 2.04085756430722 2.16847372810676 2.62803234501348 2.12096266524624 1.9577443380453 2.17368586059149 2.60182268226823 2.57726299610254 2.33669676048858 2.35835891710857 2.11713613607576
"на" 1.5005020800459 1.78796613222843 1.46807980527819 1.45895587976797 1.44129979035639 1.52946583597181 1.50067530388675 1.34099616858238 1.67722798975327 1.46067129806347 2.01916587933594 1.64719194029201 1.64587148149725 1.40471438316364 1.64038981580693 1.55437720939904 1.73077885048272 1.48712755183626 1.64601442574441 1.60422848664688 1.55548642282565 1.45307339938212 1.31198264084224 1.32352644021904 1.34874300011915 1.38645552560647 1.38976320759285 1.46526827785378 1.2906259797262 1.0519801980198 1.58094087939836 1.52947424322889 1.32769825764523 1.40137121257816
"что" 1.10744512982355 1.23851558277788 1.28984035111256 1.01755825081541 1.14094500886954 1.24348891839444 1.26556950627782 1.39645089735834 1.88485910745584 1.8856401252004 1.33891213389121 1.24246578323215 1.30307030617894 1.27081175311387 1.13781315373233 1.19047619047619 1.08298734430494 1.48712755183626 1.7292398742371 1.1313056379822 1.38882716323719 1.35719612229679 1.51691714216829 1.3922285760472 1.64661027046348 1.94743935309973 1.03142704953755 1.48958808329533 1.30630159891316 2.48368586858686 1.5178130317835 1.45246946362188 1.81412224392967 1.81152864064982
"я" 1.57796585855688 1.05611601513241 1.26109205205359 0.720689049042011 0.786163522012579 1.73373506281279 1.70576759541794 2.28624722726356 0.746932722124848 0.460594956357992 0.326629774598461 0.654960071371064 0.813354341438487 0.752886485940224 0.553599673452727 0.925348305260969 0.865389425241359 1.04472043068067 3.44923247641946 0.986028684470821 2.47544553575397 2.00490039416214 2.32058185325082 2.29343894602841 2.02311450017872 0.897911051212938 0.605297564282601 2.50797993616051 1.26449994774794 2.46962196219622 0.908492067848713 0.958576739245884 1.15426019696184 1.53809035526871
"с" 1.20786113900445 1.08313817330211 1.12693332311172 1.43356575066893 1.13288179325915 1.18476151567766 1.16302336051223 1.29058277878605 1.23230416610489 0.966994936000204 1.02038061816709 1.28380877777052 1.17105991568369 1.43250549506076 1.31129139241798 1.31264296111458 1.28557851032965 1.24193806300304 1.0541890142408 0.893298714144411 1.29772010132883 1.39341642697347 1.29189102306518 1.12146133484209 1.29631836053854 1.36118598382749 1.26870369473633 1.40750873993008 1.41080572682621 0.787578757875788 1.3366635560191 1.2453531598513 1.31374347115346 1.26465206988761
"он" 0.949648543967867 1.21599711763646 0.68612607087414 0.537098884787407 0.661183680051605 0.615361045858441 0.630283627632435 0.662936075821738 1.06512066873399 1.19347532890551 0.952895127547577 0.922601562330004 0.892134735766299 1.11417094060281 0.801061278636665 0.990330630068621 0.997949077084688 1.41250466393049 0.957092657665988 1.44967853610287 0.697746766810364 0.620006391818472 0.908141123523266 0.97597445897068 0.991302275705945 1.13039083557951 1.36555130502155 0.939352485180119 1.43170655240882 0.632875787578758 1.15002470220124 0.921402018056293 0.825325943941629 0.854494641815952
"как" 1.05580261081624 0.731850117096019 0.697625390497729 0.505849495127048 0.628930817610063 0.720049024614442 0.705317392826772 0.665456745311555 1.12444384522044 1.1196783469476 0.966392225671481 0.946536980220641 0.815483541285185 0.795836386144868 0.729629062707281 0.636826783114993 0.632784753138912 0.644954959756943 0.725910856297392 0.918026706231454 0.666637038353851 0.683924576542026 0.871976211524552 0.889086463658591 0.617180984153461 0.663746630727763 0.406759963197908 0.592795257637939 0.668826418643536 1.10542304230423 0.768512927485316 0.847052575677111 0.821338862086839 0.786135070470676
"его" 0.679959833596328 0.824175824175824 0.596048067156027 0.623034706353392 0.584583131752943 0.559187008477173 0.397678955529988 0.491530550514217 0.633679385196171 0.585286408631702 0.745039816439465 0.946536980220641 1.11782991951625 1.21775599403754 0.959232613908873 1.18267831149927 1.18303236456405 0.815521560684399 0.573330867394119 1.08184965380811 0.488867161459491 0.602961542558858 0.650968415976855 0.729455030410798 0.767306088407006 0.859164420485175 1.64640937484868 0.811673506611947 1.07639251750444 0.469734473447345 0.809683262886315 0.724907063197026 0.510346477413181 0.659468805919135
