"real_grigorovich" "real_krestovsky" "real_pisemsky" "real_pomyalovsky" "rom_bestuzhev" "rom_gogol" "rom_odoevsky" "rom_polevoy"
"и" 3.36854569817083 4.45374608528066 3.9380494391931 3.98436651829334 3.7070914957949 4.147624716771 3.28194927896569 4.93527925326182
"в" 1.82917328846094 2.41508070344495 2.3424366853143 2.20388665725763 2.38585258022715 2.3003955605054 2.73806563898558 2.02155639214068
"не" 1.92265744289676 1.77366899542279 1.94835616060848 2.67071979155358 1.98185837335163 2.09301432466685 1.87095972153158 2.02671342375329
"на" 1.78243121124303 1.34003854492893 1.25113677074434 1.29555241920892 1.71761059023808 1.92403702139099 1.24005469915465 1.7688618431231
"что" 1.45523667071765 1.25271019031559 1.41648524264888 1.86009481417146 0.965520745991818 1.67057106647721 1.38612630532074 1.33567118766438
"с" 1.1623196534854 1.505661286437 1.46333397635517 1.03861325227084 1.30345300708895 1.04458696570529 0.919940328194928 0.979836006394719
"он" 1.01897728335047 0.770898578655746 1.17948576625238 2.0736076430355 1.049368600249 0.75655747148508 0.593610144206862 1.10360476509721
"как" 0.941073821320619 0.725728740062636 0.719265852784744 0.832338146419137 0.79782503747745 1.24812780828757 0.599825957235206 0.624000825125058
"я" 0.520395126359415 0.635389062876415 0.868079477498829 0.723772301234032 1.18911502401098 0.614462921003111 0.929264047737444 0.819968026404002
"то" 1.62039201022093 0.852204288123344 0.48777799211839 0.745485470271053 0.42432095942272 0.741195898460002 0.540775733465937 0.510546129647775
"его" 0.654389081050762 0.487834256805589 0.540138341554827 1.02051894473998 0.871509515461036 0.672068819847152 0.705494778717056 1.06750554380898
"а" 0.947306098283008 0.707660804625391 0.777137817951332 0.803387254369775 0.365881545849531 0.568378201927877 0.435106911984088 0.742612552214945
"к" 0.694898881306285 0.644423030595037 0.741312315705349 0.67310824014765 0.538658942500699 0.499251123315027 0.506588761810045 0.582744572224228
"все" 0.479885326103892 0.533004095398699 0.429906026951801 0.589874425505736 0.421780115354321 0.591420561465494 0.891969169567379 0.608529730287247
"но" 0.177619893428064 0.373403999036377 0.545649957284978 0.738247747258712 0.74700815610946 0.395560505395753 0.699278965688712 0.474446908359548
