"bekhterev_bessmertie" "bekhterev_licnost" "bekhterev_vnushenie" "berdyaev_nerav" "berdyaev_smysl" "berdyaev_smysl2" "bulgakov_istoriya" "bulgakov_vvedenie" "fedorov_samoderzhavie" "fedorov_vopros" "florensky_stolp" "florensky_vodorazdely" "gorsky_istoriya1" "gorsky_istoriya2" "gorsky_vasiliy" "gumilevsky_otcy" "gumilevsky_rus" "gumilevsky_vvedenie" "karamzin_igr1" "karamzin_igr2" "kareev_istorica" "kareev_obschiy" "klyuchevky_boyarskaya1" "klyuchevky_boyarskaya2" "klyuchevky_skazania" "lenin_imp" "lenin_mat" "orlinsky_besedy" "orlinsky_orthodox" "pavlov_otvet" "pavlov_reflex" "pavlov_types" "platonov_godunov" "platonov_grozny" "rozhkov_trud" "rzhanicyn_deva" "rzhanicyn_lik1" "rzhanicyn_lik2" "sechenov_reflexy1" "sechenov_reflexy2" "solovjev_nachala" "solovjev_opravdanie" "solovyev_rossii1" "solovyev_rossii2" "ukhtomsky_dominant1" "ukhtomsky_dominant2"
"и" 4.13665743305632 4.68765133171913 3.8341831666777 5.85776265643339 4.85125580360304 4.24573646170826 4.55447372064049 5.70027461749706 4.85399019170753 4.47410055682262 4.63634392541377 4.28400308234594 3.60356554433695 4.14491863678232 3.51148730350665 4.31120502435875 4.9033474776049 4.23104070268999 4.83252754910928 4.3522383487152 4.25381550259379 4.87922997760155 3.81669220009325 4.19739753450637 3.97221901351507 3.8364872856298 3.8140282737163 6.20189762593151 6.49128522560678 3.93929944912171 4.19045676998369 3.65790829469346 5.40081799591002 5.6134103735555 4.99789473684211 4.97093268177606 5.38687561214496 5.50042262780578 3.28253968253968 3.76469219131851 4.05029600941771 4.68925692978447 3.72717707495203 4.12019484423504 3.30747841358115 3.22809088226616
"в" 4.03508771929825 3.69975786924939 4.18515330110589 3.17284487874352 3.89637976552938 4.03567486737637 4.35143740482673 3.23656335817968 3.85086937137762 3.27004869629538 2.69339179455058 3.21357452944632 3.54864602255925 2.96284924777403 3.4776299879081 3.51881199741739 3.88495992456388 3.10171751235197 3.85034191384642 3.45421820549152 3.89294038042252 4.50390459470912 4.38952907480184 4.17500790222316 4.04297100612221 3.81061502069781 2.74488922299484 2.86272753186464 2.38095238095238 2.67123999584243 3.04853181076672 2.51588528250043 3.58282208588957 3.59446385380274 3.86315789473684 3.07523801499705 3.23212536728697 3.2651911216855 3.30793650793651 3.46793902013267 2.82701789705355 2.95182339840548 2.94732933094015 2.88830811891879 4.1270305868579 4.21953378577752
"не" 1.63434903047091 1.30750605326877 1.43699092775313 2.27083910274162 2.26681906919817 1.67159183964112 0.982880347007522 1.52216555511965 2.17900133749443 2.52933078551028 1.89356525090944 1.69834209462192 1.73207722529678 2.44089653054959 1.54776299879081 1.54369900804132 1.68788307402169 1.85867775076465 1.20867633607736 1.41883353119136 1.47206976919029 1.09570797263757 1.32818224205688 1.58702981772205 1.03673327942705 0.909225310467179 1.67575017227338 1.32345156167284 1.21355269587881 1.36160482278349 0.65252854812398 0.858663918942126 1.57668711656442 1.23958613276001 1.21473684210526 1.69348723565591 1.23218855644371 1.57467989856933 1.24444444444444 0.989177237286163 1.71804889700237 2.08999833148346 1.28736770440057 1.67114513932344 0.995170496121762 1.06226025376217
"на" 1.01569713758079 1.1138014527845 1.26481689954308 0.801782912001688 0.527002559148704 0.747676861181329 1.08901296663744 0.768928991761475 0.986402139991083 0.805440835028458 0.814281240212966 0.877400453196408 0.878712348443243 1.08996008596868 1.34461910519952 1.01543699008041 1.05296243910105 0.666614383185632 1.02574153926565 1.05694481675794 0.923238854221487 1.33583550255262 1.27356291214281 1.16821199030661 1.54932424627469 1.04967474866943 0.801854288041095 0.871441951378426 1.07237878047456 1.1953019436649 1.20309951060359 1.23647604327666 1.50511247443763 1.50833109379199 1.20210526315789 0.766703176341731 0.682442892799596 0.851516764236296 1.13650793650794 1.1811939951123 0.429938750789074 0.726892859474635 1.66367518722535 1.89077434632704 1.11224937801844 1.11537326645028
"с" 0.87719298245614 1.21065375302663 1.01980001324416 0.663317113054028 0.602866651156674 1.02716559262292 1.02902496423792 0.73362102785406 0.691038787338386 0.753046086831453 0.573369630682503 1.16732408120913 1.03924633517807 1.21277249002149 1.26723095525998 0.930328109408934 1.0969668395411 0.588189161634382 1.36112200008711 1.57967295982844 0.930757085933388 1.07552918861109 1.50536201958303 1.36049942050363 1.23599399330022 1.33426966292135 0.95324604815302 0.525308466017836 0.480534288972145 1.1953019436649 1.22349102773246 1.21930276489782 1.0920245398773 1.3269282450954 0.785263157894737 0.657174151150055 0.578180784177435 0.735685439689447 0.984126984126984 1.07063889212149 0.66196918772286 0.858197857044404 1.41734232840255 1.86623477012552 0.892726474462169 1.2215992918265
"что" 1.36657433056325 1.23002421307506 1.51645586385008 0.578918911790692 0.64939662758823 1.24078755296044 1.07516958146832 1.11416241663397 0.863798484172983 0.874273151287267 1.21178539593823 0.823993469088801 1.44480588061341 1.27801657967455 0.957678355501814 1.2032634853554 0.942951438000943 1.42733903223277 0.825384380852825 0.800367632979742 1.04052326892715 0.700203805718667 0.694065143542263 0.774417869560636 0.948654268222248 0.761383796570077 1.52018208774458 0.659689701510771 0.985502524841179 1.16412015383016 1.03996737357259 0.910183754078654 1.0838445807771 0.866702499328138 0.861052631578947 1.31434830230011 0.96679409813276 0.970478665122249 1.51746031746032 1.55940882113348 1.1789193523621 1.05406719043577 1.17719873738937 1.22207089483565 1.33177228157471 1.46946001770434
"к" 0.692520775623269 0.861985472154964 0.595987020727104 0.855850509686012 0.954876038073659 1.06098906967636 0.756771722578561 0.776775205963123 0.958537672759697 0.989336127719904 0.640824881351032 0.637831981627997 0.650585104135862 1.22812404052809 1.13180169286578 0.780653870986676 0.911519723400911 0.556819073013881 0.566226752036239 0.760157775820473 0.77137057364108 0.680025021692193 0.594151735162859 0.604520071646823 0.628104424165415 0.805736250739208 0.76948777381027 0.899947061937533 0.711299342998317 0.467726847521048 0.58115823817292 0.446505237849906 0.738241308793456 0.823031443160441 0.673684210526316 0.623472912629539 0.726675302518088 0.763860626741383 0.755555555555556 0.541138135691842 0.697797416955283 0.763890400226338 0.872686761156155 1.20121225506436 0.812234743158203 0.773089406904692
"как" 1.13573407202216 1.02663438256659 0.847625985034104 0.425947172000897 0.798090247923853 0.770819240217894 0.535277559872641 0.898391526088662 1.02541239411502 1.02734800386283 1.12264810041196 0.918600126650848 0.743525833298128 0.875038378876266 0.469165659008464 0.789458237952691 0.594059405940594 1.03129166339895 0.274402195217562 0.277639489909241 0.932260732275769 0.696168048913372 0.488909611669886 0.600568960067432 0.402853182395749 0.547013601419279 0.848837937731003 1.07097772529218 0.928489982081772 0.883484045317535 0.999184339314845 0.978876867594024 0.415132924335378 0.382961569470572 0.507368421052632 0.884657511163535 0.881488736532811 0.87030022227092 0.698412698412698 0.773885720935645 1.78799924931329 1.0395583509253 0.610261806028347 0.560729316204709 0.702473291380067 0.920625553260549
"по" 0.397045244690674 0.37772397094431 0.569498708694788 0.272975432211101 0.358078514277622 0.334674404528786 1.038253887684 0.765005884660651 0.512706197057512 0.439704945653291 0.47339131272736 0.614180317237486 0.646360525537578 0.568007368744243 0.720677146311971 0.818806127839408 0.810938236680811 0.745039604736883 0.381114160024391 0.216367326618925 0.448086610029321 0.375325382892427 0.987144474788517 1.16294384153408 1.40493242462747 0.476788882318155 0.460439766961098 0.643401066905567 0.724873757941033 0.426151127741399 0.540375203915171 0.352052206766272 0.791411042944785 0.702096210696049 0.416842105263158 0.960485297834695 0.698240181984771 0.69185737094199 0.571428571428571 0.465495170487606 0.711446266186682 0.502005847062323 0.839264714984217 0.580360977165924 0.621981560076101 0.542933018589554
"но" 0.775623268698061 0.37772397094431 0.463545460565525 0.727934485896269 0.711099422421379 0.485989959767864 0.438373863688801 0.400156924284033 0.445831475702185 0.600998582259755 0.809463008022357 0.785845623297652 0.692830890118711 0.905741479889469 0.667472793228537 0.595762164700358 0.60977526324061 0.521527723315818 0.775295091249619 0.786964347259985 0.487181414931208 0.490344451843332 0.519549723572904 0.524180802865873 0.490932193600554 0.354819633353046 0.448954874814676 0.525308466017836 0.347505022533529 0.519696497245609 0.438417618270799 0.540958268933539 0.458077709611452 0.497178177909164 0.515789473684211 0.564495745218637 0.423367350162712 0.566634317377829 0.323809523809524 0.314209240079134 0.713152372340607 0.787104543443093 0.620164634523736 0.74232218009595 0.548807258890678 0.442608439067572
"его" 0.378578024007387 0.290556900726392 0.516522084630157 0.427265893895636 0.520933431788066 0.393420443621604 0.415301555073601 0.600235386426049 0.328800713330361 0.35957180135199 0.605892697969115 0.568402902288108 1.30117020827172 1.53131716303347 1.17533252720677 0.824675705816752 0.773220179160773 0.576425378401694 0.640271788840977 1.01290544939302 0.293211036764153 0.330932058034183 0.579497768600546 0.636128964281951 0.428843710292249 0.229154346540509 0.389442251874126 0.712627763977685 0.993647173806809 0.436545057686311 0.418026101141925 0.498025072986433 0.948875255623722 0.980919107766729 0.322105263157895 0.395989552616059 0.925721146251303 0.889083680305544 0.4 0.581868963109508 0.701209629263133 0.612998469317432 0.563223370675249 1.03311615808395 0.343919215571491 0.336382413691354
"а" 0.655586334256694 0.358353510895884 0.264883120323157 0.404847621685063 0.636246851640182 0.302631110478157 0.567578791933921 0.816006276971361 1.05327686134641 1.03967617990918 0.796212869498181 0.875111582448939 0.274597608888513 0.310868897758674 0.207980652962515 0.490109761108176 0.559484519880559 0.721512038271508 0.302713532819374 0.402098571592693 0.521765280805954 0.347075085255363 0.472923466329181 0.615056369191866 0.288783643294444 0.528533412182141 0.575288688425317 0.366494278617095 0.371938969430418 0.800332605758237 0.550570962479608 0.455091877039327 0.607361963190184 0.500537489922064 0.484210526315789 0.395989552616059 0.328583615051657 0.281751870519363 0.387301587301587 0.448039101594321 0.810400423114326 0.836434597778697 0.362691093643622 0.741095201285874 0.490267817942339 0.4131012097964
"от" 0.415512465373961 0.348668280871671 0.390702602476657 0.551225752001161 0.628154681825998 0.414782639655357 0.627566794333441 0.568850529619459 0.679893000445831 0.67907703055333 0.554096701920066 0.40665603613364 0.667483418529002 0.675468222290451 0.71584038694075 0.501848917062863 0.493477919220493 0.63132303348757 0.588004704037632 0.434649408340673 0.446582963686941 0.482272938232742 0.427629387863851 0.363502265303972 0.570347695506527 0.428740390301597 0.646286203512289 0.920307855194038 0.640712385296194 0.457332917576136 0.356851549755302 0.369225485145114 0.525562372188139 0.537489922063961 0.301052631578947 1.38175077934114 0.881488736532811 0.842125035218984 0.596825396825397 0.616781100896078 0.571545561564841 0.615174795244002 0.555796249303707 0.501834333321064 0.607346699839017 0.607848922986132
"или" 0.738688827331487 0.387409200968523 1.06615455930071 0.17407129010563 0.168924044871082 0.131733542208139 0.489132942642241 0.447234209493919 0.646455639768168 0.512646653927551 0.468573080536751 0.525677315002022 0.23657640150395 0.176542830825913 0.183796856106409 0.249457064037096 0.22002200220022 0.486236373617755 0.609782656039026 0.442308428751963 1.12322381775806 0.264342070746817 0.587490841270899 0.541302286376567 0.477936929652304 0.365907746895328 0.53352544425651 0.561957893879546 0.803605364608785 0.38457540796175 0.632137030995106 0.807144083805598 0.269938650306748 0.255307712980382 0.517894736842105 0.278035217794254 0.246437711288743 0.228532072754594 0.457142857142857 0.442220411963226 1.98761366932251 1.01561876573302 0.311939097604753 0.163188181740101 0.490267817942339 0.513425789318383
"о" 0.526315789473684 0.387409200968523 0.331103900403947 0.270337988421622 0.400562405802086 0.357816783565351 0.526048636426561 0.710082385249117 0.49598751671868 0.626682282356325 0.504709821966321 0.534069841076074 0.557644374973596 0.698495548050353 0.652962515114873 1.23261137524212 0.656922835140657 1.37636263822445 0.487826124831221 0.266150959292307 0.666115329674461 0.185644813043566 0.39432491840405 0.619007480771257 0.440395056024027 0.325251330573625 0.59094990498862 0.826648206214114 1.23255687679861 0.322211828292277 0.224306688417618 0.188906062167268 0.541922290388548 0.513974737973663 0.381052631578947 1.17111803858792 1.16268048402894 0.979870394139561 0.292063492063492 0.459676480856511 0.281507515397608 0.267688088968204 0.523612056693693 0.230672016294279 0.343919215571491 0.436706993213337
