"gener_aliceai_official" "gener_chatgpt5_official" "gener_chatgpt5_peasants1" "gener_chatgpt5_peasants2" "gener_gigachat_official" "gener_gigachat_peasants" "gener_saiga_official" "gener_saiga_peasants" "gener_yandex.api_official" "gener_yandex.api_peasants" "natur_gogol_nos" "natur_gogol_shinel" "natur_goncharov_istoriya1" "natur_goncharov_istoriya2" "natur_goncharov_istoriya3" "natur_turgenev_zapiski1" "natur_turgenev_zapiski2" "natur_turgenev_zapiski3" "natur_turgenev_zapiski4"
"и" 3.01359794193311 3.08285163776493 3.67195870263952 2.4390243902439 3.62284820031299 3.61138976772899 3.65131908917645 3.94979272224781 6.97919410060574 7.50106247343816 3.81827595133316 4.35768510302672 4.30655475619504 4.37777777777778 3.9008719596145 4.18187506517885 4.08510638297872 4.12557299624948 3.87411517122632
"в" 4.09775817714076 2.78507619548082 3.12652186617318 2.71532012195122 1.81533646322379 1.70537850142758 2.30715217173237 1.83095347766006 3.07260117636731 3.88865278368041 2.67926482008801 2.54362614611062 2.07833733013589 1.91111111111111 1.83570445158329 2.54458233392429 2.1371158392435 1.81969718016391 2.0853261909317
"не" 0.698272693862551 2.50481695568401 2.54212525567352 2.62957317073171 0.539906103286385 0.378115595339147 0.381181663155783 0.264854905573468 1.02712667895707 0.432072531520045 2.07092932953663 2.04081632653061 2.65787370103917 2.92222222222222 2.97154658100046 2.02315152779226 2.47754137115839 1.77107931657175 1.8748804285441
"на" 1.35979419331128 1.54142581888247 1.77266971851563 1.99123475609756 1.0093896713615 1.10348020680608 1.07332731467549 1.16305849838784 1.28171363357036 1.33163337583227 1.47553714729485 1.70560978014394 1.49880095923261 1.18888888888889 1.15878843506196 1.82500782146209 1.37115839243499 1.86136963467148 1.71226324851731
"он" 2.35207644248438 2.90768961289193 1.16879322099932 2.01981707317073 1.04851330203443 0.370398950536307 0.852643193901093 0.449101796407186 2.98481257132824 0.644567219152855 1.82500647165415 1.88307206940747 1.5087929656275 1.61111111111111 0.665442863698944 1.18886223798102 0.84160756501182 1.38213640783442 1.40616032140807
"с" 1.12091142962146 0.753196706953932 1.10061361644102 1.05754573170732 0.7981220657277 0.586465005015819 0.97301635068713 0.978811607554123 1.25537705205864 1.29621759456014 1.17784105617396 1.12392783200237 1.39888089528377 1.13333333333333 1.36530518586508 1.4912921055376 1.42789598108747 1.31962772607307 1.93227472737708
"что" 0.643145902241823 1.08600455421265 1.47073146975748 1.3719512195122 0.602503912363067 0.324099081719268 0.541679205537165 0.495163519115615 0.921780352910192 0.729565094205978 1.90266632151178 2.14926550330277 1.73860911270983 1.95555555555556 1.77833868747132 0.928146834915007 1.48463356973995 1.15988331712738 1.27224029079778
"а" 0.257258360896729 1.06848835172535 1.16879322099932 1.09565548780488 0.312989045383412 0.177482830465314 0.310963988363928 0.495163519115615 0.254586954613291 0.460405156537753 0.453015790836138 0.680272108843537 1.11910471622702 1.62222222222222 1.51445617255622 0.917718218792366 1.48463356973995 1.43075427142659 1.05222881193801
"его" 2.24182285924293 0.788229111928534 0.486997175416383 0.543064024390244 0.696400625978091 0.324099081719268 1.01314073628248 0.414555504375864 2.48441752260557 0.665816687916135 1.00957804814911 1.00561963916001 0.669464428457234 0.511111111111111 0.275355667737494 0.657002815726353 0.557919621749409 0.80566745381303 0.631337287162808
"как" 0.349136346931275 1.34874759152216 1.41229180870751 1.22903963414634 0.125195618153365 0.185199475268153 0.300932891965092 0.322432058959005 0.35993328066017 0.290409406431506 1.02252135645871 1.13378684807256 0.959232613908873 1.07777777777778 1.23910050481872 0.615288351235791 0.775413711583924 1.00708431726629 0.765257317773101
"я" 0 0.210194429847609 0.136359209116587 1.38147865853659 0.0469483568075117 0.0617331584227178 0.0300932891965092 0.0460617227084293 0 0 1.02252135645871 0.167603273193335 0.939248601119105 1.33333333333333 1.72097292335934 1.28271978308478 1.90070921985816 1.51409918044173 1.59747465085135
"но" 1.12091142962146 1.27868278157295 1.1980130515243 0.838414634146341 0.594679186228482 0.671348097847056 0.692145651519711 0.587286964532474 0.85154946887894 0.807479813004675 0.802485115195444 0.630977028492556 0.38968824940048 0.266666666666667 0.39008719596145 0.542288038377307 0.340425531914894 0.430615363244895 0.286971494164913
"то" 0.165380374862183 0.92835873182694 1.14931333398266 1.09565548780488 0.2660406885759 0.192916120070993 0.0902798675895275 0.149700598802395 0.105346326046879 0.184162062615101 0.85425834843386 1.11406881593217 1.00919264588329 0.655555555555556 0.631023405231758 0.730003128584837 0.964539007092199 0.986248090012502 0.822651616606084
"по" 0.95553105475928 0.543002277106323 0.915554689782799 0.40967987804878 0.28169014084507 0.331815726522108 0.441368241548801 0.380009212344542 0.895443771398473 0.297492562685933 0.530675640693761 0.561963916001183 0.469624300559552 0.488888888888889 0.470399265718219 0.469287725518824 0.567375886524823 0.534796499513821 0.487851540080352
"у" 0.349136346931275 0.753196706953932 0.837635141716178 1.38147865853659 0.0938967136150235 0.223782699282352 0.14043534958371 0.207277752187932 0.0614520235273461 0.318742031449214 0.478902407455346 0.354924578527063 0.699440447641887 0.666666666666667 0.596603946764571 0.834289289811242 0.624113475177305 0.632032226698153 0.593074421274153
"к" 0.532892319000367 0.560518479593624 0.477257231908055 0.495426829268293 0.242566510172144 0.354965660930627 0.652021265924365 0.449101796407186 0.517952769730489 0.524153562827596 0.49184571576495 0.601399980281968 0.479616306954436 0.666666666666667 0.447452960073428 0.521430806132026 0.747044917257683 0.472287817752466 0.430457241247369
"за" 0.735023888276369 0.315291644771414 0.389597740333106 0.323932926829268 0.39906103286385 0.424415464156185 0.431337145149965 0.610317825886688 0.491616188218769 0.658733531661708 0.465959099145742 0.453514739229025 0.509592326139089 0.422222222222222 0.435979807251033 0.625716967358432 0.614657210401891 0.416724545075705 0.545245838913335
"да" 0 0.0525486074619023 0.107139378591604 0.314405487804878 0.156494522691706 0.239215988888031 0.0200621927976728 0.103638876093966 0.00877886050390659 0 0.168263008024851 0.315488514246278 0.859312549960032 0.833333333333333 0.757228086278109 0.667431431848994 0.765957446808511 0.868176135574385 0.937440214272049
"о" 0.900404263138552 0.595550884568226 0.204538813674881 0.285823170731707 0.571205007824726 0.617331584227178 0.72223894071622 0.81759557807462 0.535510490738302 0.432072531520045 0.232979549572871 0.197180321403924 0.209832134292566 0.422222222222222 0.413033501606241 0.177286474084889 0.113475177304965 0.0763994999305459 0.143485747082456
"так" 0.147004777655274 0.280259239796812 0.389597740333106 0.390625 0.219092331768388 0.223782699282352 0.190590831577891 0.264854905573468 0.316038978140637 0.212494687632809 0.36241263266891 0.571822932071379 0.519584332533973 0.822222222222222 0.826067003212483 0.323287099801856 0.453900709219858 0.507014863175441 0.30610292710924
"из" 0.47776552737964 0.22771063233491 0.340898022791468 0.342987804878049 0.297339593114241 0.231499344085192 0.481492627144147 0.426070935052971 0.614520235273462 0.389573593993484 0.310639399430494 0.335206546386671 0.259792166266986 0.3 0.240936209270307 0.354572948169778 0.378250591016548 0.333379636060564 0.411325808303042
